Dataset;Missing rate;F1-score;Accuracy;AUC
diabetic;40;0.64;0.609;0.679
echocardiogram;5;0.889;0.923;1.0
echocardiogram;5;0.857;0.917;0.875
echocardiogram;5;0.8;0.833;0.938
echocardiogram;5;0.75;0.833;0.828
echocardiogram;5;0.8;0.833;0.969
echocardiogram;20;0.75;0.846;0.975
echocardiogram;20;0.857;0.917;0.906
echocardiogram;20;0.6;0.667;0.812
echocardiogram;20;0.857;0.917;0.781
echocardiogram;20;0.667;0.75;0.938
echocardiogram;40;0.571;0.769;0.75
echocardiogram;40;0.4;0.75;1.0
echocardiogram;40;0.5;0.667;0.75
echocardiogram;40;0.571;0.75;0.719
echocardiogram;40;0.615;0.583;0.906
fertility;5;0.0;0.7;0.056
fertility;5;0.0;0.85;0.611
fertility;5;0.0;0.9;0.722
fertility;5;0.0;0.8;0.843
fertility;5;0.0;0.85;0.353
fertility;20;0.0;0.85;0.306
fertility;20;0.0;0.9;0.722
fertility;20;0.0;0.75;0.417
fertility;20;0.333;0.8;0.549
fertility;20;0.0;0.75;0.235
fertility;40;0.0;0.85;0.639
fertility;40;0.667;0.9;0.917
fertility;40;0.0;0.85;0.5
fertility;40;0.0;0.85;0.412
fertility;40;0.0;0.85;0.294
german-credit;5;0.545;0.75;0.766
german-credit;5;0.554;0.75;0.75
german-credit;5;0.49;0.74;0.772
german-credit;5;0.584;0.765;0.791
german-credit;5;0.571;0.775;0.791
german-credit;20;0.467;0.715;0.708
german-credit;20;0.49;0.74;0.706
german-credit;20;0.442;0.71;0.776
german-credit;20;0.557;0.745;0.741
german-credit;20;0.453;0.71;0.718
german-credit;40;0.376;0.685;0.703
german-credit;40;0.407;0.68;0.723
german-credit;40;0.381;0.675;0.65
german-credit;40;0.388;0.7;0.684
german-credit;40;0.526;0.73;0.734
haberman;5;0.0;0.726;0.598
haberman;5;0.462;0.656;0.652
haberman;5;0.457;0.689;0.658
haberman;5;0.261;0.721;0.628
haberman;5;0.296;0.689;0.599
haberman;20;0.074;0.597;0.524
haberman;20;0.448;0.475;0.602
haberman;20;0.312;0.639;0.534
haberman;20;0.118;0.754;0.66
haberman;20;0.357;0.705;0.475
haberman;40;0.2;0.613;0.542
haberman;40;0.37;0.443;0.524
haberman;40;0.35;0.574;0.538
haberman;40;0.211;0.754;0.607
haberman;40;0.138;0.59;0.422
hcv-egyptian;5;0.264;0.264;0.495
hcv-egyptian;5;0.224;0.224;0.508
hcv-egyptian;5;0.235;0.235;0.496
hcv-egyptian;5;0.173;0.173;0.446
hcv-egyptian;5;0.238;0.238;0.497
hcv-egyptian;20;0.26;0.26;0.509
hcv-egyptian;20;0.245;0.245;0.513
hcv-egyptian;20;0.227;0.227;0.462
hcv-egyptian;20;0.213;0.213;0.474
hcv-egyptian;20;0.264;0.264;0.519
hcv-egyptian;40;0.282;0.282;0.535
hcv-egyptian;40;0.238;0.238;0.5
hcv-egyptian;40;0.227;0.227;0.468
hcv-egyptian;40;0.231;0.231;0.49
hcv-egyptian;40;0.26;0.26;0.503
heart-cleveland;5;0.853;0.836;0.906
heart-cleveland;5;0.896;0.885;0.935
heart-cleveland;5;0.806;0.787;0.882
heart-cleveland;5;0.831;0.817;0.907
heart-cleveland;5;0.817;0.783;0.899
heart-cleveland;20;0.912;0.902;0.923
heart-cleveland;20;0.935;0.934;0.981
heart-cleveland;20;0.875;0.869;0.927
heart-cleveland;20;0.912;0.9;0.979
heart-cleveland;20;0.912;0.9;0.945
heart-cleveland;40;0.787;0.787;0.907
heart-cleveland;40;0.906;0.902;0.935
heart-cleveland;40;0.857;0.852;0.931
heart-cleveland;40;0.848;0.833;0.938
heart-cleveland;40;0.822;0.783;0.892
hepatitis;5;0.933;0.875;0.893
hepatitis;5;0.929;0.875;0.786
hepatitis;5;0.889;0.812;0.923
hepatitis;5;0.963;0.938;0.846
hepatitis;5;0.833;0.75;0.795
hepatitis;20;0.933;0.875;0.786
hepatitis;20;0.929;0.875;0.786
hepatitis;20;0.923;0.875;0.949
hepatitis;20;0.8;0.688;0.564
hepatitis;20;0.897;0.812;0.436
hepatitis;40;0.857;0.75;0.393
hepatitis;40;0.897;0.812;0.786
hepatitis;40;0.857;0.75;0.923
hepatitis;40;0.897;0.812;0.846
hepatitis;40;0.897;0.812;0.513
iris;5;0.967;0.967;0.967
iris;5;0.933;0.933;0.983
iris;5;0.9;0.9;0.968
iris;5;0.933;0.933;0.99
iris;5;0.967;0.967;1.0
iris;20;0.933;0.933;0.988
iris;20;0.933;0.933;0.97
iris;20;0.867;0.867;0.962
iris;20;0.867;0.867;0.982
iris;20;0.967;0.967;0.955
iris;40;0.7;0.7;0.888
iris;40;0.633;0.633;0.812
iris;40;0.867;0.867;0.973
iris;40;0.767;0.767;0.913
iris;40;0.9;0.9;0.93
liver;5;0.351;0.681;0.661
liver;5;0.429;0.724;0.676
liver;5;0.406;0.647;0.635
liver;5;0.434;0.595;0.615
liver;5;0.44;0.757;0.819
liver;20;0.213;0.681;0.599
liver;20;0.255;0.647;0.617
liver;20;0.211;0.612;0.573
liver;20;0.378;0.603;0.6
liver;20;0.279;0.73;0.709
liver;40;0.14;0.681;0.539
liver;40;0.292;0.707;0.654
liver;40;0.317;0.629;0.609
liver;40;0.394;0.655;0.595
liver;40;0.372;0.765;0.685
mathernal-risk;5;0.852;0.852;0.939
mathernal-risk;5;0.68;0.68;0.852
mathernal-risk;5;0.729;0.729;0.895
mathernal-risk;5;0.778;0.778;0.927
mathernal-risk;5;0.812;0.812;0.944
mathernal-risk;20;0.759;0.759;0.909
mathernal-risk;20;0.547;0.547;0.745
mathernal-risk;20;0.67;0.67;0.848
mathernal-risk;20;0.68;0.68;0.825
mathernal-risk;20;0.748;0.748;0.899
mathernal-risk;40;0.773;0.773;0.896
mathernal-risk;40;0.611;0.611;0.809
mathernal-risk;40;0.675;0.675;0.836
mathernal-risk;40;0.68;0.68;0.84
mathernal-risk;40;0.668;0.668;0.829
npha;5;0.364;0.364;0.493
npha;5;0.524;0.524;0.589
npha;5;0.441;0.441;0.544
npha;5;0.336;0.336;0.473
npha;5;0.451;0.451;0.533
npha;20;0.413;0.413;0.555
npha;20;0.448;0.448;0.562
npha;20;0.413;0.413;0.524
npha;20;0.434;0.434;0.499
npha;20;0.423;0.423;0.524
npha;40;0.385;0.385;0.528
npha;40;0.469;0.469;0.548
npha;40;0.462;0.462;0.578
npha;40;0.406;0.406;0.471
npha;40;0.472;0.472;0.524
parkinsons;5;0.857;0.769;0.815
parkinsons;5;0.892;0.821;0.607
parkinsons;5;0.966;0.949;0.993
parkinsons;5;0.862;0.769;0.645
parkinsons;5;0.866;0.769;0.869
parkinsons;20;0.737;0.615;0.741
parkinsons;20;0.839;0.744;0.585
parkinsons;20;0.867;0.795;0.89
parkinsons;20;0.787;0.667;0.531
parkinsons;20;0.853;0.744;0.686
parkinsons;40;0.892;0.821;0.822
parkinsons;40;0.896;0.821;0.615
parkinsons;40;0.903;0.846;0.91
parkinsons;40;0.825;0.718;0.514
parkinsons;40;0.836;0.718;0.407
phoneme;5;0.778;0.867;0.926
phoneme;5;0.77;0.867;0.934
phoneme;5;0.747;0.852;0.931
phoneme;5;0.733;0.856;0.927
phoneme;5;0.794;0.881;0.941
phoneme;20;0.72;0.834;0.906
phoneme;20;0.724;0.836;0.911
phoneme;20;0.72;0.844;0.916
phoneme;20;0.746;0.854;0.921
phoneme;20;0.754;0.856;0.915
phoneme;40;0.673;0.817;0.878
phoneme;40;0.688;0.824;0.887
phoneme;40;0.662;0.818;0.878
phoneme;40;0.67;0.82;0.883
phoneme;40;0.688;0.819;0.886
pima-diabetes;5;0.589;0.747;0.791
pima-diabetes;5;0.571;0.669;0.761
pima-diabetes;5;0.571;0.727;0.789
pima-diabetes;5;0.667;0.778;0.842
pima-diabetes;5;0.608;0.739;0.822
pima-diabetes;20;0.583;0.74;0.749
pima-diabetes;20;0.61;0.734;0.761
pima-diabetes;20;0.422;0.662;0.74
pima-diabetes;20;0.587;0.706;0.734
pima-diabetes;20;0.588;0.725;0.779
pima-diabetes;40;0.569;0.695;0.741
pima-diabetes;40;0.468;0.617;0.626
pima-diabetes;40;0.477;0.701;0.726
pima-diabetes;40;0.538;0.719;0.658
pima-diabetes;40;0.574;0.739;0.738
proba_football;5;0.235;0.615;0.631
proba_football;5;0.418;0.607;0.594
proba_football;5;0.462;0.634;0.639
proba_football;5;0.432;0.687;0.65
proba_football;5;0.478;0.642;0.631
proba_football;20;0.43;0.607;0.584
proba_football;20;0.274;0.607;0.605
proba_football;20;0.389;0.672;0.62
proba_football;20;0.4;0.642;0.615
proba_football;20;0.376;0.604;0.598
proba_football;40;0.368;0.467;0.461
proba_football;40;0.261;0.622;0.619
proba_football;40;0.452;0.657;0.63
proba_football;40;0.169;0.56;0.451
proba_football;40;0.273;0.642;0.574
ricci;5;0.774;0.708;1.0
ricci;5;0.636;0.667;0.825
ricci;5;0.957;0.958;1.0
ricci;5;1.0;1.0;1.0
ricci;5;0.0;0.522;0.977
ricci;20;0.8;0.75;0.948
ricci;20;0.545;0.583;0.636
ricci;20;0.786;0.75;0.993
ricci;20;0.762;0.783;0.894
ricci;20;0.0;0.522;0.731
ricci;40;0.96;0.958;1.0
ricci;40;0.476;0.542;0.538
ricci;40;0.647;0.5;0.769
ricci;40;0.143;0.478;0.659
ricci;40;0.0;0.391;0.326
sa-heart;5;0.508;0.688;0.691
sa-heart;5;0.625;0.742;0.753
sa-heart;5;0.367;0.587;0.66
sa-heart;5;0.5;0.696;0.701
sa-heart;5;0.492;0.663;0.733
sa-heart;20;0.556;0.742;0.744
sa-heart;20;0.597;0.71;0.686
sa-heart;20;0.433;0.63;0.652
sa-heart;20;0.431;0.685;0.598
sa-heart;20;0.551;0.663;0.722
sa-heart;40;0.452;0.634;0.63
sa-heart;40;0.433;0.634;0.614
sa-heart;40;0.388;0.554;0.545
sa-heart;40;0.526;0.707;0.683
sa-heart;40;0.483;0.674;0.651
thoracic-surgery;5;0.16;0.777;0.605
thoracic-surgery;5;0.095;0.798;0.501
thoracic-surgery;5;0.111;0.83;0.479
thoracic-surgery;5;0.0;0.766;0.45
thoracic-surgery;5;0.095;0.798;0.662
thoracic-surgery;20;0.3;0.851;0.665
thoracic-surgery;20;0.19;0.819;0.457
thoracic-surgery;20;0.0;0.84;0.641
thoracic-surgery;20;0.0;0.777;0.451
thoracic-surgery;20;0.111;0.83;0.578
thoracic-surgery;40;0.125;0.851;0.576
thoracic-surgery;40;0.0;0.787;0.518
thoracic-surgery;40;0.111;0.83;0.594
thoracic-surgery;40;0.091;0.787;0.534
thoracic-surgery;40;0.16;0.777;0.517
thyroid-recurrence;5;0.927;0.961;0.987
thyroid-recurrence;5;0.878;0.935;0.968
thyroid-recurrence;5;0.85;0.922;0.968
thyroid-recurrence;5;0.816;0.882;0.928
thyroid-recurrence;5;0.56;0.566;0.997
thyroid-recurrence;20;0.842;0.922;0.97
thyroid-recurrence;20;0.864;0.922;0.96
thyroid-recurrence;20;0.872;0.935;0.993
thyroid-recurrence;20;0.826;0.895;0.955
thyroid-recurrence;20;0.667;0.724;0.986
thyroid-recurrence;40;0.24;0.753;0.927
thyroid-recurrence;40;0.872;0.935;0.983
thyroid-recurrence;40;0.9;0.948;0.997
thyroid-recurrence;40;0.694;0.803;0.858
thyroid-recurrence;40;0.778;0.842;0.993
wine;5;0.833;0.833;0.982
wine;5;0.917;0.917;0.998
wine;5;0.917;0.917;1.0
wine;5;0.943;0.943;0.996
wine;5;1.0;1.0;1.0
wine;20;0.639;0.639;0.851
wine;20;0.889;0.889;0.967
wine;20;0.944;0.944;0.991
wine;20;0.771;0.771;0.955
wine;20;0.943;0.943;0.991
wine;40;0.611;0.611;0.819
wine;40;0.639;0.639;0.768
wine;40;0.639;0.639;0.802
wine;40;0.657;0.657;0.839
wine;40;0.457;0.457;0.667
wiscosin;5;0.92;0.939;0.991
wiscosin;5;0.965;0.974;0.984
wiscosin;5;0.976;0.982;0.997
wiscosin;5;0.929;0.947;0.99
wiscosin;5;0.921;0.938;0.997
wiscosin;20;0.884;0.912;0.981
wiscosin;20;0.889;0.921;0.977
wiscosin;20;0.963;0.974;0.999
wiscosin;20;0.964;0.974;0.986
wiscosin;20;0.92;0.938;0.993
wiscosin;40;0.874;0.904;0.962
wiscosin;40;0.875;0.912;0.976
wiscosin;40;0.94;0.956;0.984
wiscosin;40;0.927;0.947;0.949
wiscosin;40;0.845;0.867;0.974
