Dataset;Missing rate;F1-score;Accuracy;AUC
fertility;20;0.0;0.65;0.422
fertility;40;0.333;0.8;0.639
fertility;40;0.0;0.9;0.75
fertility;40;0.0;0.9;0.778
fertility;40;0.0;0.85;0.137
fertility;40;0.0;0.8;0.402
german-credit;5;0.205;0.69;0.638
german-credit;5;0.224;0.62;0.606
german-credit;5;0.237;0.71;0.611
german-credit;5;0.333;0.68;0.616
german-credit;5;0.261;0.66;0.625
german-credit;20;0.311;0.645;0.542
german-credit;20;0.234;0.64;0.577
german-credit;20;0.212;0.59;0.483
german-credit;20;0.171;0.66;0.576
german-credit;20;0.133;0.675;0.58
german-credit;40;0.11;0.595;0.414
german-credit;40;0.11;0.675;0.451
german-credit;40;0.087;0.685;0.471
german-credit;40;0.158;0.68;0.569
german-credit;40;0.122;0.64;0.502
haberman;5;0.0;0.71;0.492
haberman;5;0.0;0.738;0.599
haberman;5;0.267;0.639;0.454
haberman;5;0.465;0.623;0.587
haberman;5;0.435;0.574;0.524
haberman;20;0.312;0.645;0.588
haberman;20;0.348;0.754;0.575
haberman;20;0.263;0.541;0.565
haberman;20;0.083;0.639;0.553
haberman;20;0.211;0.754;0.675
haberman;40;0.2;0.742;0.603
haberman;40;0.286;0.754;0.618
haberman;40;0.438;0.705;0.687
haberman;40;0.276;0.656;0.589
haberman;40;0.1;0.705;0.499
hcv-egyptian;5;0.271;0.271;0.516
hcv-egyptian;5;0.274;0.274;0.499
hcv-egyptian;5;0.231;0.231;0.505
hcv-egyptian;5;0.224;0.224;0.474
hcv-egyptian;5;0.285;0.285;0.522
hcv-egyptian;20;0.217;0.217;0.497
hcv-egyptian;20;0.267;0.267;0.527
hcv-egyptian;20;0.231;0.231;0.457
hcv-egyptian;20;0.285;0.285;0.532
hcv-egyptian;20;0.249;0.249;0.494
hcv-egyptian;40;0.249;0.249;0.503
hcv-egyptian;40;0.249;0.249;0.486
hcv-egyptian;40;0.227;0.227;0.484
hcv-egyptian;40;0.264;0.264;0.491
hcv-egyptian;40;0.256;0.256;0.493
heart-cleveland;5;0.517;0.541;0.569
heart-cleveland;5;0.667;0.705;0.709
heart-cleveland;5;0.767;0.721;0.715
heart-cleveland;5;0.795;0.75;0.827
heart-cleveland;5;0.817;0.783;0.822
heart-cleveland;20;0.588;0.541;0.593
heart-cleveland;20;0.611;0.541;0.545
heart-cleveland;20;0.747;0.689;0.766
heart-cleveland;20;0.557;0.55;0.488
heart-cleveland;20;0.7;0.6;0.621
heart-cleveland;40;0.0;0.377;0.294
heart-cleveland;40;0.516;0.508;0.464
heart-cleveland;40;0.623;0.623;0.643
heart-cleveland;40;0.508;0.517;0.575
heart-cleveland;40;0.59;0.583;0.636
hepatitis;5;0.933;0.875;0.857
hepatitis;5;0.857;0.75;0.446
hepatitis;5;0.897;0.812;1.0
hepatitis;5;0.857;0.75;0.385
hepatitis;5;0.267;0.312;0.615
hepatitis;20;0.846;0.75;0.893
hepatitis;20;0.897;0.812;0.0
hepatitis;20;0.897;0.812;0.538
hepatitis;20;0.857;0.75;0.41
hepatitis;20;0.857;0.75;0.423
hepatitis;40;0.8;0.688;0.571
hepatitis;40;0.769;0.625;0.071
hepatitis;40;0.897;0.812;0.205
hepatitis;40;0.897;0.812;0.551
hepatitis;40;0.897;0.812;0.205
iris;5;0.933;0.933;0.987
iris;5;0.967;0.967;0.99
iris;5;0.833;0.833;0.913
iris;5;0.967;0.967;0.977
iris;5;0.9;0.9;0.972
iris;20;0.533;0.533;0.678
iris;20;0.767;0.767;0.947
iris;20;0.733;0.733;0.875
iris;20;0.867;0.867;0.932
iris;20;0.767;0.767;0.962
iris;40;0.667;0.667;0.862
iris;40;0.533;0.533;0.763
iris;40;0.667;0.667;0.817
iris;40;0.867;0.867;0.96
iris;40;0.6;0.6;0.792
liver;5;0.35;0.552;0.508
liver;5;0.0;0.716;0.596
liver;5;0.222;0.517;0.516
liver;5;0.35;0.552;0.551
liver;5;0.245;0.678;0.493
liver;20;0.0;0.716;0.483
liver;20;0.43;0.612;0.548
liver;20;0.238;0.724;0.52
liver;20;0.231;0.655;0.501
liver;20;0.095;0.67;0.555
liver;40;0.0;0.707;0.558
liver;40;0.24;0.672;0.54
liver;40;0.222;0.638;0.482
liver;40;0.054;0.698;0.435
liver;40;0.095;0.67;0.603
mathernal-risk;5;0.581;0.581;0.765
mathernal-risk;5;0.488;0.488;0.65
mathernal-risk;5;0.537;0.537;0.714
mathernal-risk;5;0.562;0.562;0.721
mathernal-risk;5;0.579;0.579;0.749
mathernal-risk;20;0.542;0.542;0.69
mathernal-risk;20;0.453;0.453;0.663
mathernal-risk;20;0.537;0.537;0.746
mathernal-risk;20;0.527;0.527;0.65
mathernal-risk;20;0.45;0.45;0.606
mathernal-risk;40;0.562;0.562;0.733
mathernal-risk;40;0.384;0.384;0.616
mathernal-risk;40;0.576;0.576;0.761
mathernal-risk;40;0.542;0.542;0.671
mathernal-risk;40;0.55;0.55;0.696
npha;5;0.273;0.273;0.515
npha;5;0.322;0.322;0.493
npha;5;0.448;0.448;0.48
npha;5;0.364;0.364;0.513
npha;5;0.493;0.493;0.529
npha;20;0.399;0.399;0.475
npha;20;0.399;0.399;0.492
npha;20;0.392;0.392;0.494
npha;20;0.503;0.503;0.539
npha;20;0.394;0.394;0.485
npha;40;0.476;0.476;0.517
npha;40;0.455;0.455;0.53
npha;40;0.427;0.427;0.513
npha;40;0.469;0.469;0.502
npha;40;0.493;0.493;0.516
parkinsons;5;0.9;0.846;0.867
parkinsons;5;0.921;0.872;0.919
parkinsons;5;0.853;0.744;0.583
parkinsons;5;0.772;0.667;0.641
parkinsons;5;0.889;0.821;0.821
parkinsons;20;0.848;0.744;0.422
parkinsons;20;0.879;0.795;0.869
parkinsons;20;0.784;0.718;0.874
parkinsons;20;0.871;0.795;0.824
parkinsons;20;0.812;0.692;0.705
parkinsons;40;0.857;0.769;0.826
parkinsons;40;0.848;0.744;0.73
parkinsons;40;0.879;0.795;0.822
parkinsons;40;0.844;0.744;0.597
parkinsons;40;0.762;0.615;0.666
phoneme;5;0.572;0.749;0.807
phoneme;5;0.495;0.724;0.747
phoneme;5;0.53;0.721;0.784
phoneme;5;0.285;0.643;0.525
phoneme;5;0.439;0.728;0.785
phoneme;20;0.505;0.739;0.721
phoneme;20;0.54;0.711;0.72
phoneme;20;0.447;0.735;0.644
phoneme;20;0.478;0.754;0.77
phoneme;20;0.443;0.697;0.662
phoneme;40;0.385;0.544;0.584
phoneme;40;0.2;0.616;0.466
phoneme;40;0.418;0.585;0.606
phoneme;40;0.352;0.693;0.651
phoneme;40;0.246;0.666;0.604
pima-diabetes;5;0.509;0.662;0.721
pima-diabetes;5;0.44;0.604;0.616
pima-diabetes;5;0.563;0.708;0.734
pima-diabetes;5;0.505;0.693;0.722
pima-diabetes;5;0.471;0.706;0.703
pima-diabetes;20;0.404;0.656;0.614
pima-diabetes;20;0.425;0.701;0.624
pima-diabetes;20;0.379;0.617;0.624
pima-diabetes;20;0.618;0.725;0.713
pima-diabetes;20;0.495;0.641;0.617
pima-diabetes;40;0.458;0.708;0.605
pima-diabetes;40;0.341;0.623;0.624
pima-diabetes;40;0.417;0.565;0.596
pima-diabetes;40;0.505;0.706;0.672
pima-diabetes;40;0.383;0.536;0.506
proba_football;5;0.479;0.37;0.404
proba_football;5;0.4;0.489;0.451
proba_football;5;0.188;0.612;0.505
proba_football;5;0.244;0.493;0.427
proba_football;5;0.197;0.575;0.452
proba_football;20;0.374;0.43;0.487
proba_football;20;0.3;0.585;0.528
proba_football;20;0.263;0.582;0.457
proba_football;20;0.265;0.463;0.388
proba_football;20;0.339;0.418;0.417
proba_football;40;0.35;0.615;0.5
proba_football;40;0.319;0.652;0.593
proba_football;40;0.289;0.56;0.527
proba_football;40;0.317;0.582;0.553
proba_football;40;0.503;0.396;0.564
ricci;5;0.75;0.667;0.465
ricci;5;0.273;0.333;0.329
ricci;5;0.64;0.625;0.476
ricci;5;0.5;0.565;0.652
ricci;5;0.154;0.522;0.485
ricci;20;0.1;0.25;0.347
ricci;20;0.364;0.417;0.462
ricci;20;0.88;0.875;0.965
ricci;20;0.667;0.696;0.822
ricci;20;0.69;0.609;0.424
ricci;40;0.105;0.292;0.358
ricci;40;0.64;0.625;0.755
ricci;40;0.538;0.5;0.545
ricci;40;0.522;0.522;0.326
ricci;40;0.0;0.522;0.242
sa-heart;5;0.464;0.677;0.693
sa-heart;5;0.535;0.57;0.641
sa-heart;5;0.333;0.652;0.668
sa-heart;5;0.567;0.717;0.673
sa-heart;5;0.409;0.717;0.785
sa-heart;20;0.431;0.688;0.698
sa-heart;20;0.545;0.516;0.622
sa-heart;20;0.5;0.674;0.666
sa-heart;20;0.222;0.62;0.63
sa-heart;20;0.432;0.543;0.593
sa-heart;40;0.182;0.613;0.539
sa-heart;40;0.473;0.688;0.582
sa-heart;40;0.286;0.62;0.536
sa-heart;40;0.339;0.576;0.541
sa-heart;40;0.387;0.587;0.584
thoracic-surgery;5;0.0;0.851;0.434
thoracic-surgery;5;0.0;0.851;0.352
thoracic-surgery;5;0.0;0.798;0.537
thoracic-surgery;5;0.167;0.787;0.572
thoracic-surgery;5;0.0;0.787;0.354
thoracic-surgery;20;0.0;0.798;0.632
thoracic-surgery;20;0.0;0.84;0.508
thoracic-surgery;20;0.083;0.766;0.54
thoracic-surgery;20;0.174;0.798;0.613
thoracic-surgery;20;0.111;0.83;0.537
thoracic-surgery;40;0.286;0.84;0.617
thoracic-surgery;40;0.261;0.819;0.561
thoracic-surgery;40;0.0;0.84;0.623
thoracic-surgery;40;0.167;0.787;0.579
thoracic-surgery;40;0.0;0.766;0.616
thyroid-recurrence;5;0.621;0.714;0.839
thyroid-recurrence;5;0.467;0.792;0.797
thyroid-recurrence;5;0.65;0.818;0.864
thyroid-recurrence;5;0.679;0.763;0.821
thyroid-recurrence;5;0.667;0.75;0.952
thyroid-recurrence;20;0.618;0.727;0.842
thyroid-recurrence;20;0.0;0.701;0.779
thyroid-recurrence;20;0.412;0.74;0.87
thyroid-recurrence;20;0.571;0.724;0.743
thyroid-recurrence;20;0.346;0.553;0.593
thyroid-recurrence;40;0.2;0.688;0.669
thyroid-recurrence;40;0.067;0.636;0.516
thyroid-recurrence;40;0.571;0.805;0.568
thyroid-recurrence;40;0.457;0.342;0.667
thyroid-recurrence;40;0.0;0.658;0.472
wine;5;0.778;0.778;0.898
wine;5;0.583;0.583;0.823
wine;5;0.917;0.917;0.927
wine;5;0.771;0.771;0.943
wine;5;0.771;0.771;0.928
wine;20;0.722;0.722;0.77
wine;20;0.667;0.667;0.905
wine;20;0.722;0.722;0.872
wine;20;0.829;0.829;0.95
wine;20;0.686;0.686;0.86
wine;40;0.556;0.556;0.769
wine;40;0.75;0.75;0.857
wine;40;0.472;0.472;0.747
wine;40;0.543;0.543;0.768
wine;40;0.571;0.571;0.691
wiscosin;5;0.779;0.851;0.963
wiscosin;5;0.881;0.912;0.973
wiscosin;5;0.943;0.956;0.995
wiscosin;5;0.938;0.956;0.978
wiscosin;5;0.911;0.929;0.991
wiscosin;20;0.757;0.842;0.935
wiscosin;20;0.884;0.912;0.975
wiscosin;20;0.905;0.93;0.985
wiscosin;20;0.911;0.939;0.937
wiscosin;20;0.804;0.841;0.943
wiscosin;40;0.771;0.86;0.923
wiscosin;40;0.721;0.789;0.914
wiscosin;40;0.846;0.895;0.94
wiscosin;40;0.824;0.868;0.941
wiscosin;40;0.857;0.894;0.943
