Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
mathernal-risk;20;0.156 ± 0.009;0.169 ± 0.014;0.201 ± 0.032;0.396 ± 0.058
mathernal-risk;40;0.162 ± 0.017;0.443 ± 0.314;0.257 ± 0.104;0.551 ± 0.168
npha;5;0.314 ± 0.051;0.28 ± 0.056;0.372 ± 0.064;0.514 ± 0.087
npha;20;0.315 ± 0.058;0.3 ± 0.067;0.405 ± 0.058;0.6 ± 0.03
npha;40;0.324 ± 0.077;0.426 ± 0.166;0.478 ± 0.039;0.536 ± 0.06
parkinsons;5;67.678 ± 58.771;347.691 ± 158.155;66.213 ± 59.836;46.569 ± 58.928
parkinsons;20;67.692 ± 58.75;517.384 ± 243.319;65.878 ± 58.459;89.353 ± 47.696
parkinsons;40;67.957 ± 58.656;794.307 ± 661.528;68.946 ± 57.907;68.242 ± 58.648
phoneme;5;0.116 ± 0.017;0.189 ± 0.059;0.318 ± 0.065;0.207 ± 0.041
phoneme;20;0.145 ± 0.009;0.17 ± 0.021;0.305 ± 0.018;0.16 ± 0.011
phoneme;40;0.155 ± 0.007;0.172 ± 0.008;0.334 ± 0.07;0.174 ± 0.019
pima-diabetes;5;0.115 ± 0.026;0.126 ± 0.023;0.196 ± 0.034;0.306 ± 0.085
pima-diabetes;20;0.103 ± 0.02;0.116 ± 0.018;0.189 ± 0.032;0.268 ± 0.071
pima-diabetes;40;0.13 ± 0.023;0.222 ± 0.084;0.209 ± 0.05;0.267 ± 0.084
proba_football;5;0.155 ± 0.022;0.196 ± 0.037;0.145 ± 0.015;0.307 ± 0.033
proba_football;20;0.161 ± 0.028;0.172 ± 0.021;0.155 ± 0.023;0.331 ± 0.043
proba_football;40;0.161 ± 0.042;0.195 ± 0.073;0.162 ± 0.042;0.344 ± 0.061
ricci;5;0.362 ± 0.173;0.279 ± 0.13;0.399 ± 0.066;0.637 ± 0.119
ricci;20;0.342 ± 0.103;0.33 ± 0.094;0.391 ± 0.083;0.64 ± 0.052
ricci;40;0.354 ± 0.109;0.603 ± 0.521;0.434 ± 0.084;0.538 ± 0.11
sa-heart;5;0.196 ± 0.053;0.183 ± 0.074;0.217 ± 0.042;0.342 ± 0.061
sa-heart;20;0.206 ± 0.06;0.192 ± 0.066;0.218 ± 0.032;0.356 ± 0.096
sa-heart;40;0.213 ± 0.067;0.264 ± 0.035;0.261 ± 0.028;0.409 ± 0.084
thoracic-surgery;5;0.231 ± 0.033;0.256 ± 0.044;0.286 ± 0.054;0.4 ± 0.074
thoracic-surgery;20;0.253 ± 0.026;0.257 ± 0.034;0.291 ± 0.055;0.472 ± 0.032
thoracic-surgery;40;0.269 ± 0.051;0.355 ± 0.084;0.294 ± 0.067;0.49 ± 0.074
thyroid-recurrence;5;0.193 ± 0.02;0.186 ± 0.036;0.226 ± 0.043;0.371 ± 0.037
thyroid-recurrence;20;0.245 ± 0.014;0.313 ± 0.034;0.282 ± 0.053;0.443 ± 0.069
thyroid-recurrence;40;0.264 ± 0.015;1.11 ± 1.537;0.305 ± 0.022;0.494 ± 0.073
wine;5;0.151 ± 0.023;0.172 ± 0.018;0.198 ± 0.027;0.318 ± 0.049
wine;20;0.182 ± 0.017;0.271 ± 0.065;0.212 ± 0.046;0.307 ± 0.074
wine;40;0.222 ± 0.022;0.535 ± 0.334;0.235 ± 0.043;0.566 ± 0.083
wiscosin;5;0.333 ± 0.062;0.56 ± 0.082;0.178 ± 0.123;0.609 ± 0.051
wiscosin;20;0.797 ± 0.189;1.085 ± 0.281;0.447 ± 0.068;0.953 ± 0.173
wiscosin;40;1.684 ± 0.1;1.704 ± 0.231;1.229 ± 0.26;1.762 ± 0.114
