Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
german-credit;40;0.601 ± 0.013;0.47 ± 0.092;0.308 ± 0.014;0.428 ± 0.031
haberman;5;0.272 ± 0.056;0.281 ± 0.082;0.203 ± 0.11;0.416 ± 0.185
haberman;20;0.301 ± 0.067;0.295 ± 0.074;0.266 ± 0.13;0.515 ± 0.282
haberman;40;0.317 ± 0.074;0.341 ± 0.092;0.207 ± 0.098;0.525 ± 0.155
hcv-egyptian;5;0.485 ± 0.013;0.578 ± 0.017;0.525 ± 0.022;0.434 ± 0.039
hcv-egyptian;20;0.588 ± 0.008;0.601 ± 0.01;0.533 ± 0.013;0.566 ± 0.025
hcv-egyptian;40;0.591 ± 0.012;0.574 ± 0.011;0.504 ± 0.025;0.618 ± 0.01
heart-cleveland;5;0.325 ± 0.044;0.311 ± 0.034;0.346 ± 0.041;0.375 ± 0.064
heart-cleveland;20;0.391 ± 0.013;0.32 ± 0.011;0.288 ± 0.023;0.353 ± 0.048
heart-cleveland;40;0.401 ± 0.015;0.372 ± 0.035;0.269 ± 0.027;0.428 ± 0.01
hepatitis;5;0.691 ± 0.079;0.699 ± 0.091;0.496 ± 0.045;0.69 ± 0.046
hepatitis;20;0.701 ± 0.082;0.656 ± 0.098;0.531 ± 0.085;0.673 ± 0.098
hepatitis;40;0.624 ± 0.075;0.634 ± 0.083;0.537 ± 0.036;0.679 ± 0.085
iris;5;0.191 ± 0.079;0.225 ± 0.103;0.169 ± 0.103;0.646 ± 0.122
iris;20;0.259 ± 0.055;0.242 ± 0.052;0.182 ± 0.049;0.806 ± 0.038
iris;40;0.382 ± 0.014;0.376 ± 0.027;0.208 ± 0.014;0.763 ± 0.028
liver;5;0.21 ± 0.014;0.198 ± 0.025;0.144 ± 0.055;0.391 ± 0.06
liver;20;0.215 ± 0.019;0.196 ± 0.023;0.119 ± 0.047;0.378 ± 0.042
liver;40;0.202 ± 0.014;0.198 ± 0.032;0.169 ± 0.037;0.401 ± 0.069
mathernal-risk;5;0.179 ± 0.027;0.231 ± 0.033;0.203 ± 0.026;0.441 ± 0.106
mathernal-risk;20;0.227 ± 0.018;0.238 ± 0.01;0.221 ± 0.026;0.427 ± 0.042
mathernal-risk;40;0.262 ± 0.011;0.28 ± 0.015;0.229 ± 0.015;0.449 ± 0.029
npha;5;0.526 ± 0.056;0.483 ± 0.048;0.486 ± 0.046;0.61 ± 0.06
npha;20;0.604 ± 0.022;0.455 ± 0.03;0.465 ± 0.015;0.581 ± 0.025
npha;40;0.606 ± 0.025;0.51 ± 0.025;0.45 ± 0.051;0.582 ± 0.023
parkinsons;5;64.35 ± 15.787;340.049 ± 81.352;60.866 ± 17.967;64.445 ± 15.755
parkinsons;20;64.336 ± 15.798;614.443 ± 360.998;63.756 ± 14.844;64.447 ± 15.794
parkinsons;40;64.382 ± 15.781;293.959 ± 89.323;64.261 ± 18.494;64.488 ± 15.77
phoneme;5;0.298 ± 0.013;0.3 ± 0.007;0.217 ± 0.008;0.361 ± 0.072
phoneme;20;0.298 ± 0.006;0.269 ± 0.004;0.208 ± 0.026;0.373 ± 0.031
phoneme;40;0.27 ± 0.004;0.214 ± 0.005;0.188 ± 0.024;0.394 ± 0.014
pima-diabetes;5;0.218 ± 0.021;0.235 ± 0.021;0.215 ± 0.008;0.423 ± 0.064
pima-diabetes;20;0.186 ± 0.007;0.203 ± 0.014;0.185 ± 0.013;0.37 ± 0.029
pima-diabetes;40;0.212 ± 0.009;0.219 ± 0.012;0.177 ± 0.012;0.359 ± 0.041
proba_football;5;0.065 ± 0.057;0.076 ± 0.058;0.062 ± 0.054;0.057 ± 0.023
proba_football;20;0.258 ± 0.042;0.119 ± 0.018;0.105 ± 0.026;0.17 ± 0.04
proba_football;40;0.47 ± 0.057;0.15 ± 0.004;0.133 ± 0.008;0.254 ± 0.03
ricci;5;0.27 ± 0.065;0.245 ± 0.112;0.303 ± 0.09;0.342 ± 0.122
ricci;20;0.428 ± 0.058;0.22 ± 0.053;0.256 ± 0.11;0.528 ± 0.068
ricci;40;0.466 ± 0.1;0.382 ± 0.164;0.309 ± 0.055;0.582 ± 0.1
sa-heart;5;0.322 ± 0.014;0.327 ± 0.033;0.236 ± 0.062;0.49 ± 0.067
sa-heart;20;0.359 ± 0.016;0.347 ± 0.019;0.223 ± 0.023;0.458 ± 0.037
sa-heart;40;0.361 ± 0.02;0.362 ± 0.029;0.222 ± 0.033;0.451 ± 0.03
thoracic-surgery;5;0.213 ± 0.014;0.186 ± 0.012;0.209 ± 0.024;0.199 ± 0.028
thoracic-surgery;20;0.32 ± 0.016;0.211 ± 0.039;0.232 ± 0.017;0.254 ± 0.02
thoracic-surgery;40;0.353 ± 0.024;0.301 ± 0.027;0.215 ± 0.01;0.284 ± 0.028
thyroid-recurrence;5;0.193 ± 0.024;0.192 ± 0.008;0.247 ± 0.03;0.291 ± 0.052
thyroid-recurrence;20;0.325 ± 0.042;0.262 ± 0.059;0.258 ± 0.043;0.345 ± 0.026
thyroid-recurrence;40;0.435 ± 0.041;0.434 ± 0.062;0.283 ± 0.052;0.396 ± 0.033
wine;5;0.262 ± 0.031;0.238 ± 0.034;0.272 ± 0.067;0.407 ± 0.022
wine;20;0.331 ± 0.016;0.25 ± 0.023;0.246 ± 0.038;0.432 ± 0.035
wine;40;0.344 ± 0.016;0.322 ± 0.034;0.218 ± 0.034;0.605 ± 0.045
wiscosin;5;0.323 ± 0.019;0.603 ± 0.145;0.299 ± 0.118;0.435 ± 0.009
wiscosin;20;0.338 ± 0.016;0.691 ± 0.17;0.26 ± 0.039;0.455 ± 0.034
wiscosin;40;0.611 ± 0.168;1.564 ± 0.391;0.366 ± 0.112;0.682 ± 0.163
