Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
hcv-egyptian;20;0.589 ± 0.012;0.614 ± 0.01;0.514 ± 0.01;0.518 ± 0.049
hcv-egyptian;40;0.628 ± 0.004;0.611 ± 0.005;0.539 ± 0.018;0.571 ± 0.03
heart-cleveland;5;0.3 ± 0.042;0.288 ± 0.037;0.302 ± 0.033;0.478 ± 0.109
heart-cleveland;20;0.344 ± 0.012;0.29 ± 0.017;0.269 ± 0.035;0.471 ± 0.074
heart-cleveland;40;0.403 ± 0.019;0.39 ± 0.03;0.275 ± 0.027;0.509 ± 0.048
hepatitis;5;0.584 ± 0.077;0.596 ± 0.072;0.524 ± 0.059;0.559 ± 0.078
hepatitis;20;0.607 ± 0.081;0.612 ± 0.048;0.518 ± 0.06;0.642 ± 0.09
hepatitis;40;0.516 ± 0.063;0.511 ± 0.064;0.433 ± 0.053;0.619 ± 0.076
iris;5;0.153 ± 0.094;0.159 ± 0.078;0.11 ± 0.042;0.682 ± 0.222
iris;20;0.271 ± 0.091;0.205 ± 0.075;0.189 ± 0.056;0.756 ± 0.13
iris;40;0.475 ± 0.028;0.45 ± 0.027;0.187 ± 0.023;0.822 ± 0.021
liver;5;0.207 ± 0.018;0.212 ± 0.01;0.165 ± 0.043;0.487 ± 0.101
liver;20;0.229 ± 0.01;0.209 ± 0.01;0.143 ± 0.045;0.475 ± 0.053
liver;40;0.194 ± 0.007;0.189 ± 0.011;0.161 ± 0.02;0.478 ± 0.053
mathernal-risk;5;0.183 ± 0.024;0.23 ± 0.039;0.22 ± 0.033;0.605 ± 0.066
mathernal-risk;20;0.219 ± 0.015;0.231 ± 0.009;0.207 ± 0.009;0.533 ± 0.127
mathernal-risk;40;0.261 ± 0.005;0.272 ± 0.012;0.205 ± 0.003;0.56 ± 0.084
npha;5;0.326 ± 0.012;0.318 ± 0.032;0.295 ± 0.073;0.462 ± 0.116
npha;20;0.379 ± 0.037;0.279 ± 0.024;0.269 ± 0.03;0.501 ± 0.07
npha;40;0.444 ± 0.011;0.393 ± 0.025;0.266 ± 0.04;0.522 ± 0.113
parkinsons;5;0.129 ± 0.035;0.141 ± 0.024;0.163 ± 0.035;0.438 ± 0.045
parkinsons;20;0.172 ± 0.036;0.174 ± 0.018;0.14 ± 0.026;0.449 ± 0.046
parkinsons;40;0.209 ± 0.021;0.23 ± 0.018;0.123 ± 0.023;0.45 ± 0.026
phoneme;5;0.224 ± 0.008;0.266 ± 0.005;0.213 ± 0.026;0.401 ± 0.042
phoneme;20;0.252 ± 0.003;0.245 ± 0.002;0.211 ± 0.042;0.409 ± 0.045
phoneme;40;0.247 ± 0.002;0.191 ± 0.003;0.173 ± 0.007;0.389 ± 0.022
pima-diabetes;5;0.214 ± 0.02;0.224 ± 0.02;0.177 ± 0.021;0.509 ± 0.1
pima-diabetes;20;0.184 ± 0.016;0.198 ± 0.015;0.171 ± 0.013;0.464 ± 0.025
pima-diabetes;40;0.214 ± 0.008;0.222 ± 0.013;0.178 ± 0.014;0.502 ± 0.031
proba_football;5;0.042 ± 0.009;0.028 ± 0.006;0.021 ± 0.003;0.345 ± 0.037
proba_football;20;0.327 ± 0.077;0.029 ± 0.007;0.019 ± 0.003;0.362 ± 0.051
proba_football;40;0.501 ± 0.044;0.031 ± 0.007;0.016 ± 0.004;0.351 ± 0.029
ricci;5;0.236 ± 0.057;0.258 ± 0.135;0.126 ± 0.074;0.476 ± 0.11
ricci;20;0.24 ± 0.071;0.18 ± 0.083;0.252 ± 0.067;0.548 ± 0.083
ricci;40;0.359 ± 0.11;0.341 ± 0.178;0.249 ± 0.101;0.587 ± 0.134
sa-heart;5;0.254 ± 0.012;0.288 ± 0.032;0.196 ± 0.048;0.446 ± 0.067
sa-heart;20;0.301 ± 0.009;0.316 ± 0.016;0.199 ± 0.066;0.47 ± 0.043
sa-heart;40;0.329 ± 0.023;0.339 ± 0.024;0.214 ± 0.014;0.487 ± 0.033
thoracic-surgery;5;0.148 ± 0.009;0.126 ± 0.018;0.124 ± 0.013;0.474 ± 0.048
thoracic-surgery;20;0.208 ± 0.025;0.136 ± 0.015;0.16 ± 0.013;0.446 ± 0.064
thoracic-surgery;40;0.221 ± 0.022;0.26 ± 0.044;0.148 ± 0.016;0.461 ± 0.033
thyroid-recurrence;5;0.187 ± 0.03;0.191 ± 0.015;0.21 ± 0.026;0.431 ± 0.089
thyroid-recurrence;20;0.233 ± 0.024;0.158 ± 0.022;0.178 ± 0.026;0.442 ± 0.067
thyroid-recurrence;40;0.313 ± 0.107;0.303 ± 0.107;0.21 ± 0.04;0.458 ± 0.076
wine;5;0.194 ± 0.049;0.198 ± 0.042;0.239 ± 0.026;0.473 ± 0.048
wine;20;0.269 ± 0.017;0.211 ± 0.03;0.216 ± 0.023;0.526 ± 0.042
wine;40;0.314 ± 0.01;0.294 ± 0.023;0.201 ± 0.03;0.64 ± 0.037
wiscosin;5;0.1 ± 0.012;0.07 ± 0.013;0.113 ± 0.015;0.451 ± 0.02
wiscosin;20;0.112 ± 0.009;0.086 ± 0.007;0.101 ± 0.018;0.437 ± 0.015
wiscosin;40;0.132 ± 0.01;0.14 ± 0.012;0.088 ± 0.009;0.435 ± 0.017
