Dataset;Missing rate;F1-score;Accuracy;AUC
haberman;20;0.2;0.613;0.634
haberman;20;0.51;0.59;0.676
haberman;20;0.154;0.639;0.494
haberman;20;0.0;0.738;0.698
haberman;20;0.308;0.705;0.43
haberman;40;0.32;0.452;0.516
haberman;40;0.491;0.525;0.617
haberman;40;0.41;0.623;0.587
haberman;40;0.118;0.754;0.555
haberman;40;0.105;0.721;0.365
hcv-egyptian;5;0.282;0.282;0.494
hcv-egyptian;5;0.285;0.285;0.519
hcv-egyptian;5;0.238;0.238;0.489
hcv-egyptian;5;0.217;0.217;0.469
hcv-egyptian;5;0.245;0.245;0.492
hcv-egyptian;20;0.271;0.271;0.503
hcv-egyptian;20;0.282;0.282;0.531
hcv-egyptian;20;0.26;0.26;0.494
hcv-egyptian;20;0.242;0.242;0.512
hcv-egyptian;20;0.256;0.256;0.528
hcv-egyptian;40;0.264;0.264;0.462
hcv-egyptian;40;0.242;0.242;0.505
hcv-egyptian;40;0.238;0.238;0.469
hcv-egyptian;40;0.202;0.202;0.443
hcv-egyptian;40;0.231;0.231;0.521
heart-cleveland;5;0.8;0.787;0.88
heart-cleveland;5;0.848;0.836;0.911
heart-cleveland;5;0.774;0.77;0.861
heart-cleveland;5;0.812;0.783;0.908
heart-cleveland;5;0.806;0.767;0.873
heart-cleveland;20;0.845;0.82;0.867
heart-cleveland;20;0.806;0.787;0.882
heart-cleveland;20;0.774;0.77;0.844
heart-cleveland;20;0.788;0.767;0.85
heart-cleveland;20;0.806;0.783;0.878
heart-cleveland;40;0.831;0.82;0.88
heart-cleveland;40;0.853;0.836;0.911
heart-cleveland;40;0.738;0.721;0.802
heart-cleveland;40;0.8;0.75;0.862
heart-cleveland;40;0.742;0.733;0.871
hepatitis;5;0.933;0.875;1.0
hepatitis;5;0.929;0.875;0.679
hepatitis;5;0.88;0.812;0.897
hepatitis;5;0.963;0.938;0.897
hepatitis;5;0.783;0.688;0.744
hepatitis;20;0.933;0.875;0.786
hepatitis;20;0.857;0.75;0.679
hepatitis;20;0.889;0.812;0.718
hepatitis;20;0.8;0.688;0.615
hepatitis;20;0.929;0.875;0.538
hepatitis;40;0.857;0.75;0.714
hepatitis;40;0.857;0.75;0.5
hepatitis;40;0.857;0.75;0.821
hepatitis;40;0.833;0.75;0.692
hepatitis;40;0.857;0.75;0.154
iris;5;0.933;0.933;0.962
iris;5;0.833;0.833;0.963
iris;5;0.667;0.667;0.883
iris;5;0.9;0.9;0.972
iris;5;0.767;0.767;0.893
iris;20;0.867;0.867;0.953
iris;20;0.733;0.733;0.937
iris;20;0.767;0.767;0.93
iris;20;0.867;0.867;0.965
iris;20;0.767;0.767;0.882
iris;40;0.633;0.633;0.837
iris;40;0.767;0.767;0.887
iris;40;0.6;0.6;0.858
iris;40;0.633;0.633;0.858
iris;40;0.533;0.533;0.787
liver;5;0.317;0.629;0.618
liver;5;0.205;0.733;0.699
liver;5;0.276;0.638;0.628
liver;5;0.496;0.509;0.615
liver;5;0.111;0.722;0.734
liver;20;0.384;0.612;0.583
liver;20;0.233;0.716;0.708
liver;20;0.386;0.698;0.645
liver;20;0.44;0.474;0.589
liver;20;0.19;0.704;0.712
liver;40;0.204;0.664;0.509
liver;40;0.204;0.664;0.568
liver;40;0.113;0.595;0.517
liver;40;0.491;0.517;0.672
liver;40;0.227;0.704;0.717
mathernal-risk;5;0.882;0.882;0.974
mathernal-risk;5;0.695;0.695;0.859
mathernal-risk;5;0.764;0.764;0.91
mathernal-risk;5;0.764;0.764;0.929
mathernal-risk;5;0.802;0.802;0.939
mathernal-risk;20;0.798;0.798;0.913
mathernal-risk;20;0.601;0.601;0.787
mathernal-risk;20;0.68;0.68;0.859
mathernal-risk;20;0.714;0.714;0.882
mathernal-risk;20;0.733;0.733;0.896
mathernal-risk;40;0.719;0.719;0.895
mathernal-risk;40;0.66;0.66;0.833
mathernal-risk;40;0.601;0.601;0.831
mathernal-risk;40;0.665;0.665;0.834
mathernal-risk;40;0.653;0.653;0.814
npha;5;0.441;0.441;0.502
npha;5;0.455;0.455;0.553
npha;5;0.406;0.406;0.466
npha;5;0.301;0.301;0.483
npha;5;0.387;0.387;0.481
npha;20;0.455;0.455;0.504
npha;20;0.503;0.503;0.577
npha;20;0.371;0.371;0.489
npha;20;0.476;0.476;0.518
npha;20;0.423;0.423;0.515
npha;40;0.49;0.49;0.579
npha;40;0.448;0.448;0.531
npha;40;0.469;0.469;0.549
npha;40;0.35;0.35;0.543
npha;40;0.415;0.415;0.502
parkinsons;5;0.857;0.769;0.689
parkinsons;5;0.892;0.821;0.663
parkinsons;5;0.967;0.949;0.931
parkinsons;5;0.825;0.718;0.728
parkinsons;5;0.853;0.744;0.617
parkinsons;20;0.892;0.821;0.785
parkinsons;20;0.857;0.769;0.678
parkinsons;20;0.949;0.923;0.948
parkinsons;20;0.787;0.667;0.634
parkinsons;20;0.825;0.718;0.576
parkinsons;40;0.892;0.821;0.881
parkinsons;40;0.909;0.846;0.8
parkinsons;40;0.903;0.846;0.828
parkinsons;40;0.735;0.667;0.686
parkinsons;40;0.818;0.692;0.593
phoneme;5;0.668;0.811;0.881
phoneme;5;0.697;0.829;0.899
phoneme;5;0.704;0.835;0.903
phoneme;5;0.726;0.842;0.889
phoneme;5;0.702;0.834;0.906
phoneme;20;0.616;0.78;0.846
phoneme;20;0.65;0.809;0.871
phoneme;20;0.657;0.808;0.859
phoneme;20;0.636;0.793;0.866
phoneme;20;0.663;0.81;0.869
phoneme;40;0.527;0.745;0.788
phoneme;40;0.5;0.75;0.785
phoneme;40;0.529;0.756;0.781
phoneme;40;0.581;0.777;0.83
phoneme;40;0.601;0.79;0.839
pima-diabetes;5;0.625;0.766;0.794
pima-diabetes;5;0.595;0.682;0.756
pima-diabetes;5;0.523;0.727;0.772
pima-diabetes;5;0.686;0.791;0.838
pima-diabetes;5;0.61;0.732;0.815
pima-diabetes;20;0.51;0.688;0.738
pima-diabetes;20;0.545;0.675;0.72
pima-diabetes;20;0.522;0.714;0.752
pima-diabetes;20;0.615;0.739;0.782
pima-diabetes;20;0.574;0.719;0.768
pima-diabetes;40;0.574;0.721;0.733
pima-diabetes;40;0.525;0.695;0.706
pima-diabetes;40;0.479;0.675;0.732
pima-diabetes;40;0.633;0.765;0.755
pima-diabetes;40;0.585;0.712;0.749
proba_football;5;0.317;0.681;0.603
proba_football;5;0.47;0.548;0.564
proba_football;5;0.39;0.627;0.615
proba_football;5;0.434;0.649;0.638
proba_football;5;0.477;0.657;0.627
proba_football;20;0.343;0.659;0.533
proba_football;20;0.308;0.533;0.448
proba_football;20;0.375;0.627;0.57
proba_football;20;0.356;0.649;0.52
proba_football;20;0.357;0.597;0.534
proba_football;40;0.385;0.504;0.506
proba_football;40;0.341;0.57;0.536
proba_football;40;0.264;0.5;0.423
proba_football;40;0.42;0.649;0.572
proba_football;40;0.306;0.627;0.598
ricci;5;0.828;0.792;1.0
ricci;5;0.737;0.792;0.909
ricci;5;0.917;0.917;1.0
ricci;5;1.0;1.0;1.0
ricci;5;0.0;0.522;0.962
ricci;20;0.923;0.917;1.0
ricci;20;0.609;0.625;0.762
ricci;20;0.815;0.792;1.0
ricci;20;0.632;0.696;0.894
ricci;20;0.0;0.522;0.739
ricci;40;0.857;0.833;0.979
ricci;40;0.7;0.75;0.766
ricci;40;0.88;0.875;0.958
ricci;40;0.625;0.739;0.909
ricci;40;0.471;0.609;0.591
sa-heart;5;0.429;0.656;0.661
sa-heart;5;0.59;0.731;0.692
sa-heart;5;0.475;0.663;0.698
sa-heart;5;0.379;0.609;0.656
sa-heart;5;0.456;0.663;0.699
sa-heart;20;0.536;0.72;0.718
sa-heart;20;0.667;0.774;0.723
sa-heart;20;0.5;0.674;0.697
sa-heart;20;0.34;0.62;0.616
sa-heart;20;0.54;0.685;0.69
sa-heart;40;0.387;0.591;0.567
sa-heart;40;0.456;0.667;0.655
sa-heart;40;0.349;0.554;0.554
sa-heart;40;0.456;0.663;0.556
sa-heart;40;0.525;0.685;0.668
thoracic-surgery;5;0.211;0.84;0.657
thoracic-surgery;5;0.0;0.798;0.476
thoracic-surgery;5;0.0;0.809;0.621
thoracic-surgery;5;0.105;0.819;0.388
thoracic-surgery;5;0.19;0.819;0.646
thoracic-surgery;20;0.182;0.809;0.616
thoracic-surgery;20;0.1;0.809;0.474
thoracic-surgery;20;0.125;0.851;0.609
thoracic-surgery;20;0.0;0.787;0.594
thoracic-surgery;20;0.111;0.83;0.594
thoracic-surgery;40;0.0;0.702;0.45
thoracic-surgery;40;0.0;0.798;0.502
thoracic-surgery;40;0.182;0.809;0.539
thoracic-surgery;40;0.125;0.851;0.493
thoracic-surgery;40;0.286;0.84;0.563
thyroid-recurrence;5;0.927;0.961;0.988
thyroid-recurrence;5;0.878;0.935;0.989
thyroid-recurrence;5;0.9;0.948;1.0
thyroid-recurrence;5;0.833;0.895;0.992
thyroid-recurrence;5;0.677;0.737;0.998
thyroid-recurrence;20;0.743;0.883;0.955
thyroid-recurrence;20;0.851;0.909;0.945
thyroid-recurrence;20;0.927;0.961;0.996
thyroid-recurrence;20;0.784;0.855;0.939
thyroid-recurrence;20;0.808;0.868;0.988
thyroid-recurrence;40;0.85;0.922;0.958
thyroid-recurrence;40;0.872;0.935;0.993
thyroid-recurrence;40;0.878;0.935;0.987
thyroid-recurrence;40;0.851;0.908;0.972
thyroid-recurrence;40;0.955;0.974;0.982
wine;5;0.833;0.833;0.923
wine;5;0.889;0.889;0.993
wine;5;0.917;0.917;0.999
wine;5;0.971;0.971;1.0
wine;5;1.0;1.0;1.0
wine;20;0.75;0.75;0.883
wine;20;0.861;0.861;0.952
wine;20;0.917;0.917;0.992
wine;20;0.914;0.914;0.985
wine;20;1.0;1.0;1.0
wine;40;0.611;0.611;0.723
wine;40;0.694;0.694;0.892
wine;40;0.667;0.667;0.77
wine;40;0.8;0.8;0.922
wine;40;0.629;0.629;0.868
wiscosin;5;0.871;0.904;0.987
wiscosin;5;0.902;0.93;0.978
wiscosin;5;0.964;0.974;0.996
wiscosin;5;0.964;0.974;0.985
wiscosin;5;0.944;0.956;0.996
wiscosin;20;0.894;0.921;0.989
wiscosin;20;0.902;0.93;0.975
wiscosin;20;0.952;0.965;0.998
wiscosin;20;0.941;0.956;0.987
wiscosin;20;0.944;0.956;0.988
wiscosin;40;0.86;0.895;0.968
wiscosin;40;0.864;0.904;0.976
wiscosin;40;0.929;0.947;0.988
wiscosin;40;0.925;0.947;0.978
wiscosin;40;0.92;0.938;0.991
