Dataset,fold,F1-score,Accuracy,Recall,AUC
liver,3,0.35,0.612,0.311,0.642
liver,4,0.523,0.604,0.659,0.646
mathernal-risk,0,1.0,1.0,1.0,1.0
mathernal-risk,1,1.0,1.0,1.0,1.0
mathernal-risk,2,1.0,1.0,1.0,1.0
mathernal-risk,3,1.0,1.0,1.0,1.0
mathernal-risk,4,0.9,0.913,0.818,0.909
npha,0,0.414,0.634,0.375,0.722
npha,1,0.606,0.72,0.625,0.747
npha,2,0.476,0.641,0.469,0.678
npha,3,0.536,0.717,0.469,0.726
npha,4,0.476,0.641,0.469,0.706
parkinsons,0,0.105,0.819,0.071,0.657
parkinsons,1,0.111,0.83,0.071,0.563
parkinsons,2,0.125,0.851,0.071,0.536
parkinsons,3,0.0,0.798,0.0,0.464
parkinsons,4,0.211,0.84,0.143,0.713
phoneme,0,0.927,0.961,0.864,0.974
phoneme,1,0.927,0.961,0.864,0.996
phoneme,2,0.9,0.948,0.818,0.99
phoneme,3,0.93,0.961,0.952,0.984
phoneme,4,0.6,0.632,1.0,0.99
pima-diabetes,0,0.944,0.944,0.944,1.0
pima-diabetes,1,0.917,0.917,0.917,0.994
pima-diabetes,2,0.917,0.917,0.917,1.0
pima-diabetes,3,0.971,0.971,0.971,1.0
pima-diabetes,4,1.0,1.0,1.0,1.0
proba_football,0,0.953,0.965,0.953,0.995
proba_football,1,0.94,0.956,0.907,0.988
proba_football,2,0.988,0.991,0.976,1.0
proba_football,3,0.951,0.965,0.929,0.99
proba_football,4,0.966,0.973,1.0,0.998
