Dataset;Missing rate;F1-score;Accuracy;AUC
blood-transfusion;40;0.0;0.747;0.45
blood-transfusion;40;0.25;0.718;0.588
blood-transfusion;40;0.267;0.779;0.546
contraceptive-methods;5;0.502;0.502;0.706
contraceptive-methods;5;0.525;0.525;0.712
contraceptive-methods;5;0.522;0.522;0.701
contraceptive-methods;5;0.561;0.561;0.743
contraceptive-methods;5;0.503;0.503;0.694
contraceptive-methods;20;0.505;0.505;0.681
contraceptive-methods;20;0.556;0.556;0.717
contraceptive-methods;20;0.475;0.475;0.654
contraceptive-methods;20;0.531;0.531;0.695
contraceptive-methods;20;0.473;0.473;0.653
contraceptive-methods;40;0.427;0.427;0.6
contraceptive-methods;40;0.461;0.461;0.6
contraceptive-methods;40;0.444;0.444;0.621
contraceptive-methods;40;0.422;0.422;0.605
contraceptive-methods;40;0.486;0.486;0.639
diabetic;5;0.687;0.645;0.733
diabetic;5;0.678;0.678;0.728
diabetic;5;0.723;0.717;0.79
diabetic;5;0.725;0.7;0.758
diabetic;5;0.698;0.639;0.752
diabetic;20;0.728;0.732;0.772
diabetic;20;0.642;0.587;0.623
diabetic;20;0.652;0.661;0.716
diabetic;20;0.703;0.648;0.709
diabetic;20;0.711;0.639;0.753
diabetic;40;0.698;0.667;0.741
diabetic;40;0.652;0.648;0.696
diabetic;40;0.74;0.704;0.795
diabetic;40;0.672;0.67;0.724
diabetic;40;0.701;0.648;0.713
echocardiogram;5;0.833;0.846;0.925
echocardiogram;5;0.857;0.917;0.969
echocardiogram;5;0.8;0.833;0.875
echocardiogram;5;0.667;0.833;0.719
echocardiogram;5;1.0;1.0;1.0
echocardiogram;20;0.889;0.923;0.95
echocardiogram;20;0.667;0.833;0.875
echocardiogram;20;0.6;0.667;0.781
echocardiogram;20;0.4;0.75;0.625
echocardiogram;20;0.667;0.833;0.938
echocardiogram;40;0.667;0.769;0.85
echocardiogram;40;0.857;0.917;0.906
echocardiogram;40;0.75;0.833;0.938
echocardiogram;40;0.286;0.583;0.281
echocardiogram;40;0.571;0.75;0.75
fertility;5;0.0;0.8;0.694
fertility;5;0.5;0.9;0.694
fertility;5;0.667;0.95;0.917
fertility;5;0.0;0.8;0.863
fertility;5;0.0;0.8;0.608
fertility;20;0.0;0.7;0.472
fertility;20;0.667;0.95;0.5
fertility;20;0.0;0.9;1.0
fertility;20;0.4;0.85;0.647
fertility;20;0.0;0.85;0.471
fertility;40;0.0;0.8;0.139
fertility;40;0.0;0.7;0.361
fertility;40;0.0;0.9;0.75
fertility;40;0.0;0.75;0.804
fertility;40;0.333;0.8;0.392
german-credit;5;0.412;0.7;0.703
german-credit;5;0.519;0.74;0.775
german-credit;5;0.589;0.77;0.804
german-credit;5;0.622;0.775;0.797
german-credit;5;0.514;0.735;0.749
german-credit;20;0.566;0.785;0.735
german-credit;20;0.356;0.675;0.654
german-credit;20;0.471;0.73;0.752
german-credit;20;0.475;0.735;0.735
german-credit;20;0.441;0.67;0.691
german-credit;40;0.456;0.595;0.57
german-credit;40;0.25;0.7;0.618
german-credit;40;0.323;0.685;0.677
german-credit;40;0.34;0.69;0.669
german-credit;40;0.343;0.655;0.645
haberman;5;0.0;0.726;0.568
haberman;5;0.462;0.656;0.623
haberman;5;0.489;0.623;0.712
haberman;5;0.2;0.738;0.762
haberman;5;0.333;0.738;0.473
haberman;20;0.1;0.71;0.533
haberman;20;0.4;0.656;0.609
haberman;20;0.389;0.639;0.596
haberman;20;0.211;0.754;0.746
haberman;20;0.35;0.574;0.545
haberman;40;0.0;0.726;0.41
haberman;40;0.296;0.689;0.619
haberman;40;0.359;0.59;0.611
haberman;40;0.211;0.754;0.624
haberman;40;0.459;0.459;0.607
hcv-egyptian;5;0.22;0.22;0.484
hcv-egyptian;5;0.282;0.282;0.529
hcv-egyptian;5;0.217;0.217;0.469
hcv-egyptian;5;0.224;0.224;0.436
hcv-egyptian;5;0.235;0.235;0.498
hcv-egyptian;20;0.249;0.249;0.468
hcv-egyptian;20;0.256;0.256;0.517
hcv-egyptian;20;0.224;0.224;0.472
hcv-egyptian;20;0.213;0.213;0.458
hcv-egyptian;20;0.278;0.278;0.507
hcv-egyptian;40;0.235;0.235;0.471
hcv-egyptian;40;0.282;0.282;0.495
hcv-egyptian;40;0.245;0.245;0.473
hcv-egyptian;40;0.253;0.253;0.502
hcv-egyptian;40;0.22;0.22;0.484
heart-cleveland;5;0.818;0.803;0.881
heart-cleveland;5;0.857;0.852;0.896
heart-cleveland;5;0.812;0.803;0.906
heart-cleveland;5;0.806;0.783;0.852
heart-cleveland;5;0.817;0.783;0.854
heart-cleveland;20;0.853;0.836;0.868
heart-cleveland;20;0.848;0.836;0.909
heart-cleveland;20;0.776;0.754;0.85
heart-cleveland;20;0.706;0.667;0.799
heart-cleveland;20;0.75;0.733;0.8
heart-cleveland;40;0.719;0.705;0.779
heart-cleveland;40;0.687;0.656;0.734
heart-cleveland;40;0.866;0.852;0.853
heart-cleveland;40;0.757;0.7;0.793
heart-cleveland;40;0.754;0.75;0.797
hepatitis;5;0.933;0.875;0.857
hepatitis;5;0.966;0.938;0.821
hepatitis;5;0.889;0.812;0.846
hepatitis;5;0.923;0.875;0.769
hepatitis;5;0.7;0.625;0.923
hepatitis;20;0.933;0.875;0.679
hepatitis;20;0.929;0.875;0.821
hepatitis;20;0.929;0.875;0.897
hepatitis;20;0.963;0.938;0.821
hepatitis;20;0.783;0.688;0.897
hepatitis;40;0.933;0.875;0.429
hepatitis;40;0.857;0.75;0.429
hepatitis;40;0.833;0.75;0.59
hepatitis;40;0.929;0.875;0.923
hepatitis;40;0.923;0.875;0.949
iris;5;0.833;0.833;0.902
iris;5;0.833;0.833;0.97
iris;5;0.8;0.8;0.9
iris;5;0.967;0.967;0.99
iris;5;0.667;0.667;0.888
iris;20;0.7;0.7;0.862
iris;20;0.733;0.733;0.908
iris;20;0.733;0.733;0.89
iris;20;0.867;0.867;0.962
iris;20;0.567;0.567;0.75
iris;40;0.533;0.533;0.672
iris;40;0.367;0.367;0.643
iris;40;0.333;0.333;0.53
iris;40;0.6;0.6;0.783
iris;40;0.367;0.367;0.642
liver;5;0.472;0.672;0.652
liver;5;0.14;0.681;0.705
liver;5;0.25;0.69;0.601
liver;5;0.523;0.56;0.627
liver;5;0.056;0.704;0.771
liver;20;0.327;0.681;0.664
liver;20;0.244;0.733;0.715
liver;20;0.28;0.69;0.676
liver;20;0.495;0.543;0.628
liver;20;0.233;0.713;0.761
liver;40;0.231;0.655;0.628
liver;40;0.0;0.716;0.662
liver;40;0.487;0.474;0.667
liver;40;0.178;0.681;0.568
liver;40;0.565;0.678;0.732
mathernal-risk;5;0.842;0.842;0.96
mathernal-risk;5;0.7;0.7;0.858
mathernal-risk;5;0.773;0.773;0.911
mathernal-risk;5;0.798;0.798;0.929
mathernal-risk;5;0.743;0.743;0.898
mathernal-risk;20;0.744;0.744;0.917
mathernal-risk;20;0.567;0.567;0.811
mathernal-risk;20;0.714;0.714;0.865
mathernal-risk;20;0.749;0.749;0.904
mathernal-risk;20;0.574;0.574;0.781
mathernal-risk;40;0.704;0.704;0.883
mathernal-risk;40;0.547;0.547;0.746
mathernal-risk;40;0.67;0.67;0.852
mathernal-risk;40;0.621;0.621;0.828
mathernal-risk;40;0.485;0.485;0.676
npha;5;0.441;0.441;0.523
npha;5;0.434;0.434;0.559
npha;5;0.413;0.413;0.514
npha;5;0.371;0.371;0.5
npha;5;0.444;0.444;0.525
npha;20;0.371;0.371;0.472
npha;20;0.42;0.42;0.491
npha;20;0.434;0.434;0.531
npha;20;0.385;0.385;0.492
npha;20;0.387;0.387;0.483
npha;40;0.497;0.497;0.536
npha;40;0.371;0.371;0.491
npha;40;0.483;0.483;0.493
npha;40;0.483;0.483;0.578
npha;40;0.472;0.472;0.544
parkinsons;5;0.857;0.769;0.841
parkinsons;5;0.909;0.846;0.867
parkinsons;5;0.983;0.974;0.976
parkinsons;5;0.825;0.718;0.41
parkinsons;5;0.866;0.769;0.821
parkinsons;20;0.892;0.821;0.9
parkinsons;20;0.909;0.846;0.711
parkinsons;20;0.945;0.923;1.0
parkinsons;20;0.862;0.769;0.579
parkinsons;20;0.853;0.744;0.79
parkinsons;40;0.909;0.846;0.73
parkinsons;40;0.909;0.846;0.715
parkinsons;40;0.512;0.462;0.659
parkinsons;40;0.825;0.718;0.734
parkinsons;40;0.8;0.667;0.566
phoneme;5;0.679;0.812;0.876
phoneme;5;0.723;0.841;0.905
phoneme;5;0.687;0.815;0.886
phoneme;5;0.675;0.816;0.879
phoneme;5;0.698;0.827;0.892
phoneme;20;0.58;0.768;0.846
phoneme;20;0.655;0.796;0.859
phoneme;20;0.594;0.779;0.829
phoneme;20;0.593;0.762;0.82
phoneme;20;0.611;0.794;0.832
phoneme;40;0.482;0.753;0.738
phoneme;40;0.481;0.74;0.75
phoneme;40;0.509;0.723;0.744
phoneme;40;0.485;0.731;0.754
phoneme;40;0.427;0.722;0.745
pima-diabetes;5;0.602;0.734;0.773
pima-diabetes;5;0.569;0.656;0.744
pima-diabetes;5;0.463;0.714;0.776
pima-diabetes;5;0.688;0.804;0.839
pima-diabetes;5;0.615;0.739;0.797
pima-diabetes;20;0.533;0.682;0.704
pima-diabetes;20;0.579;0.688;0.73
pima-diabetes;20;0.532;0.714;0.755
pima-diabetes;20;0.556;0.739;0.779
pima-diabetes;20;0.604;0.725;0.783
pima-diabetes;40;0.43;0.552;0.589
pima-diabetes;40;0.404;0.636;0.641
pima-diabetes;40;0.431;0.571;0.582
pima-diabetes;40;0.458;0.706;0.688
pima-diabetes;40;0.529;0.686;0.65
proba_football;5;0.257;0.615;0.584
proba_football;5;0.326;0.57;0.545
proba_football;5;0.5;0.567;0.621
proba_football;5;0.35;0.612;0.597
proba_football;5;0.496;0.575;0.604
proba_football;20;0.289;0.526;0.509
proba_football;20;0.212;0.615;0.561
proba_football;20;0.299;0.649;0.558
proba_football;20;0.319;0.649;0.566
proba_football;20;0.44;0.545;0.565
proba_football;40;0.378;0.489;0.521
proba_football;40;0.276;0.689;0.625
proba_football;40;0.344;0.545;0.484
proba_football;40;0.31;0.634;0.576
proba_football;40;0.371;0.545;0.477
ricci;5;0.8;0.75;1.0
ricci;5;0.667;0.708;0.832
ricci;5;0.917;0.917;1.0
ricci;5;1.0;1.0;1.0
ricci;5;0.0;0.522;1.0
ricci;20;0.727;0.625;0.993
ricci;20;0.783;0.792;0.909
ricci;20;0.88;0.875;1.0
ricci;20;1.0;1.0;1.0
ricci;20;0.167;0.565;1.0
ricci;40;0.629;0.458;0.521
ricci;40;0.667;0.625;0.626
ricci;40;0.7;0.75;0.895
ricci;40;0.7;0.739;0.879
ricci;40;0.375;0.565;0.473
sa-heart;5;0.576;0.731;0.717
sa-heart;5;0.508;0.688;0.692
sa-heart;5;0.523;0.663;0.686
sa-heart;5;0.475;0.663;0.652
sa-heart;5;0.5;0.717;0.741
sa-heart;20;0.462;0.699;0.703
sa-heart;20;0.533;0.699;0.638
sa-heart;20;0.433;0.63;0.638
sa-heart;20;0.377;0.641;0.676
sa-heart;20;0.426;0.62;0.659
sa-heart;40;0.469;0.634;0.627
sa-heart;40;0.393;0.634;0.565
sa-heart;40;0.367;0.663;0.649
sa-heart;40;0.333;0.565;0.543
sa-heart;40;0.516;0.674;0.63
thoracic-surgery;5;0.19;0.819;0.666
thoracic-surgery;5;0.1;0.809;0.543
thoracic-surgery;5;0.111;0.83;0.578
thoracic-surgery;5;0.0;0.819;0.423
thoracic-surgery;5;0.462;0.851;0.706
thoracic-surgery;20;0.111;0.83;0.546
thoracic-surgery;20;0.118;0.84;0.415
thoracic-surgery;20;0.286;0.84;0.621
thoracic-surgery;20;0.0;0.851;0.355
thoracic-surgery;20;0.296;0.798;0.696
thoracic-surgery;40;0.0;0.787;0.511
thoracic-surgery;40;0.0;0.787;0.449
thoracic-surgery;40;0.111;0.83;0.601
thoracic-surgery;40;0.0;0.819;0.347
thoracic-surgery;40;0.125;0.851;0.622
thyroid-recurrence;5;0.872;0.935;0.969
thyroid-recurrence;5;0.85;0.922;0.964
thyroid-recurrence;5;0.821;0.909;0.991
thyroid-recurrence;5;0.809;0.882;0.96
thyroid-recurrence;5;0.618;0.658;0.984
thyroid-recurrence;20;0.872;0.935;0.96
thyroid-recurrence;20;0.905;0.948;0.969
thyroid-recurrence;20;0.85;0.922;0.977
thyroid-recurrence;20;0.783;0.868;0.961
thyroid-recurrence;20;0.727;0.803;0.967
thyroid-recurrence;40;0.679;0.766;0.822
thyroid-recurrence;40;0.718;0.857;0.964
thyroid-recurrence;40;0.875;0.922;0.952
thyroid-recurrence;40;0.387;0.5;0.563
thyroid-recurrence;40;0.884;0.934;0.972
wine;5;0.889;0.889;0.98
wine;5;0.944;0.944;0.989
wine;5;0.861;0.861;0.986
wine;5;0.914;0.914;0.994
wine;5;1.0;1.0;1.0
wine;20;0.806;0.806;0.915
wine;20;0.861;0.861;0.96
wine;20;0.722;0.722;0.913
wine;20;0.914;0.914;0.998
wine;20;1.0;1.0;1.0
wine;40;0.528;0.528;0.789
wine;40;0.833;0.833;0.975
wine;40;0.806;0.806;0.928
wine;40;0.657;0.657;0.877
wine;40;0.829;0.829;0.958
wiscosin;5;0.929;0.947;0.992
wiscosin;5;0.9;0.93;0.974
wiscosin;5;0.965;0.974;0.994
wiscosin;5;0.941;0.956;0.986
wiscosin;5;0.891;0.912;0.997
wiscosin;20;0.911;0.939;0.989
wiscosin;20;0.914;0.939;0.972
wiscosin;20;0.953;0.965;0.996
wiscosin;20;0.951;0.965;0.99
wiscosin;20;0.944;0.956;0.999
wiscosin;40;0.843;0.886;0.972
wiscosin;40;0.929;0.947;0.982
wiscosin;40;0.923;0.947;0.996
wiscosin;40;0.918;0.939;0.965
wiscosin;40;0.837;0.858;0.989
