Dataset;Missing rate;F1-score;Accuracy;AUC
blood-transfusion;40;0.103;0.767;0.519
blood-transfusion;40;0.235;0.738;0.525
blood-transfusion;40;0.157;0.711;0.53
contraceptive-methods;5;0.475;0.475;0.661
contraceptive-methods;5;0.417;0.417;0.501
contraceptive-methods;5;0.505;0.505;0.66
contraceptive-methods;5;0.463;0.463;0.634
contraceptive-methods;5;0.493;0.493;0.649
contraceptive-methods;20;0.38;0.38;0.578
contraceptive-methods;20;0.427;0.427;0.534
contraceptive-methods;20;0.495;0.495;0.655
contraceptive-methods;20;0.432;0.432;0.583
contraceptive-methods;20;0.463;0.463;0.622
contraceptive-methods;40;0.305;0.305;0.579
contraceptive-methods;40;0.427;0.427;0.515
contraceptive-methods;40;0.427;0.427;0.574
contraceptive-methods;40;0.459;0.459;0.642
contraceptive-methods;40;0.425;0.425;0.605
diabetic;5;0.699;0.645;0.735
diabetic;5;0.692;0.643;0.703
diabetic;5;0.698;0.691;0.752
diabetic;5;0.662;0.578;0.623
diabetic;5;0.692;0.678;0.741
diabetic;20;0.528;0.597;0.719
diabetic;20;0.656;0.609;0.622
diabetic;20;0.541;0.587;0.62
diabetic;20;0.693;0.557;0.605
diabetic;20;0.713;0.604;0.633
diabetic;40;0.679;0.567;0.69
diabetic;40;0.662;0.548;0.59
diabetic;40;0.639;0.504;0.484
diabetic;40;0.657;0.6;0.678
diabetic;40;0.669;0.543;0.56
echocardiogram;5;0.8;0.846;0.975
echocardiogram;5;0.857;0.917;1.0
echocardiogram;5;0.75;0.833;0.875
echocardiogram;5;0.75;0.833;0.75
echocardiogram;5;0.889;0.917;1.0
echocardiogram;20;0.444;0.615;0.75
echocardiogram;20;0.667;0.75;0.75
echocardiogram;20;0.571;0.75;0.75
echocardiogram;20;0.667;0.833;0.75
echocardiogram;20;0.333;0.667;0.469
echocardiogram;40;0.75;0.846;0.925
echocardiogram;40;0.667;0.833;0.641
echocardiogram;40;0.429;0.333;0.438
echocardiogram;40;0.571;0.5;1.0
echocardiogram;40;0.571;0.75;0.547
fertility;5;0.0;0.9;0.5
fertility;5;0.0;0.75;0.722
fertility;5;0.4;0.85;0.917
fertility;5;0.0;0.85;0.627
fertility;5;0.4;0.85;0.647
fertility;20;0.0;0.9;0.444
fertility;20;0.0;0.6;0.444
fertility;20;0.0;0.9;0.722
fertility;20;0.0;0.8;0.765
fertility;20;0.222;0.65;0.431
fertility;40;0.0;0.8;0.75
fertility;40;0.0;0.75;0.722
fertility;40;0.0;0.9;0.861
fertility;40;0.444;0.75;0.647
fertility;40;0.5;0.9;0.392
german-credit;5;0.569;0.75;0.729
german-credit;5;0.495;0.725;0.724
german-credit;5;0.577;0.78;0.778
german-credit;5;0.538;0.76;0.77
german-credit;5;0.47;0.695;0.701
german-credit;20;0.378;0.72;0.664
german-credit;20;0.352;0.705;0.658
german-credit;20;0.489;0.665;0.699
german-credit;20;0.282;0.72;0.69
german-credit;20;0.368;0.725;0.622
german-credit;40;0.237;0.645;0.543
german-credit;40;0.434;0.375;0.507
german-credit;40;0.247;0.695;0.598
german-credit;40;0.34;0.69;0.547
german-credit;40;0.254;0.56;0.465
haberman;5;0.3;0.774;0.742
haberman;5;0.222;0.77;0.721
haberman;5;0.0;0.721;0.626
haberman;5;0.111;0.738;0.543
haberman;5;0.0;0.738;0.582
haberman;20;0.111;0.742;0.604
haberman;20;0.118;0.754;0.688
haberman;20;0.0;0.721;0.647
haberman;20;0.312;0.639;0.535
haberman;20;0.0;0.738;0.58
haberman;40;0.533;0.774;0.682
haberman;40;0.37;0.721;0.588
haberman;40;0.462;0.77;0.66
haberman;40;0.308;0.705;0.553
haberman;40;0.0;0.738;0.529
hcv-egyptian;5;0.253;0.253;0.49
hcv-egyptian;5;0.289;0.289;0.544
hcv-egyptian;5;0.26;0.26;0.505
hcv-egyptian;5;0.235;0.235;0.49
hcv-egyptian;5;0.227;0.227;0.49
hcv-egyptian;20;0.217;0.217;0.463
hcv-egyptian;20;0.256;0.256;0.508
hcv-egyptian;20;0.242;0.242;0.478
hcv-egyptian;20;0.217;0.217;0.443
hcv-egyptian;20;0.238;0.238;0.501
hcv-egyptian;40;0.256;0.256;0.516
hcv-egyptian;40;0.26;0.26;0.515
hcv-egyptian;40;0.224;0.224;0.454
hcv-egyptian;40;0.209;0.209;0.479
hcv-egyptian;40;0.267;0.267;0.527
heart-cleveland;5;0.621;0.639;0.775
heart-cleveland;5;0.725;0.689;0.82
heart-cleveland;5;0.806;0.787;0.797
heart-cleveland;5;0.738;0.717;0.809
heart-cleveland;5;0.667;0.667;0.78
heart-cleveland;20;0.737;0.672;0.7
heart-cleveland;20;0.609;0.557;0.601
heart-cleveland;20;0.656;0.656;0.643
heart-cleveland;20;0.721;0.717;0.79
heart-cleveland;20;0.576;0.533;0.568
heart-cleveland;40;0.435;0.574;0.698
heart-cleveland;40;0.641;0.541;0.621
heart-cleveland;40;0.725;0.59;0.703
heart-cleveland;40;0.74;0.683;0.663
heart-cleveland;40;0.436;0.483;0.459
hepatitis;5;0.923;0.875;0.929
hepatitis;5;0.966;0.938;0.893
hepatitis;5;0.897;0.812;0.949
hepatitis;5;0.88;0.812;0.846
hepatitis;5;0.897;0.812;0.692
hepatitis;20;0.963;0.938;0.964
hepatitis;20;0.933;0.875;0.964
hepatitis;20;0.897;0.812;1.0
hepatitis;20;0.696;0.562;0.692
hepatitis;20;0.929;0.875;0.769
hepatitis;40;0.963;0.938;1.0
hepatitis;40;0.846;0.75;0.5
hepatitis;40;0.846;0.75;0.667
hepatitis;40;0.929;0.875;0.641
hepatitis;40;0.889;0.812;0.718
iris;5;0.7;0.7;0.852
iris;5;0.767;0.767;0.878
iris;5;0.633;0.633;0.717
iris;5;0.6;0.6;0.868
iris;5;0.933;0.933;0.98
iris;20;0.367;0.367;0.722
iris;20;0.733;0.733;0.887
iris;20;0.467;0.467;0.793
iris;20;0.767;0.767;0.827
iris;20;0.6;0.6;0.908
iris;40;0.5;0.5;0.648
iris;40;0.6;0.6;0.715
iris;40;0.4;0.4;0.57
iris;40;0.6;0.6;0.753
iris;40;0.667;0.667;0.86
liver;5;0.361;0.664;0.629
liver;5;0.091;0.655;0.628
liver;5;0.316;0.664;0.628
liver;5;0.485;0.543;0.656
liver;5;0.158;0.722;0.812
liver;20;0.254;0.595;0.577
liver;20;0.053;0.69;0.568
liver;20;0.5;0.724;0.709
liver;20;0.308;0.612;0.618
liver;20;0.279;0.73;0.765
liver;40;0.054;0.698;0.603
liver;40;0.368;0.586;0.567
liver;40;0.544;0.595;0.684
liver;40;0.158;0.724;0.534
liver;40;0.273;0.722;0.853
mathernal-risk;5;0.739;0.739;0.919
mathernal-risk;5;0.512;0.512;0.721
mathernal-risk;5;0.458;0.458;0.65
mathernal-risk;5;0.739;0.739;0.88
mathernal-risk;5;0.594;0.594;0.776
mathernal-risk;20;0.695;0.695;0.866
mathernal-risk;20;0.542;0.542;0.713
mathernal-risk;20;0.483;0.483;0.678
mathernal-risk;20;0.645;0.645;0.724
mathernal-risk;20;0.525;0.525;0.75
mathernal-risk;40;0.522;0.522;0.669
mathernal-risk;40;0.468;0.468;0.664
mathernal-risk;40;0.296;0.296;0.521
mathernal-risk;40;0.433;0.433;0.627
mathernal-risk;40;0.446;0.446;0.653
npha;5;0.434;0.434;0.505
npha;5;0.497;0.497;0.592
npha;5;0.427;0.427;0.513
npha;5;0.51;0.51;0.563
npha;5;0.493;0.493;0.58
npha;20;0.329;0.329;0.457
npha;20;0.364;0.364;0.492
npha;20;0.364;0.364;0.464
npha;20;0.497;0.497;0.587
npha;20;0.408;0.408;0.533
npha;40;0.378;0.378;0.471
npha;40;0.378;0.378;0.485
npha;40;0.378;0.378;0.541
npha;40;0.434;0.434;0.49
npha;40;0.408;0.408;0.515
parkinsons;5;0.839;0.744;0.815
parkinsons;5;0.857;0.769;0.696
parkinsons;5;0.847;0.769;0.783
parkinsons;5;0.862;0.769;0.783
parkinsons;5;0.857;0.769;0.7
parkinsons;20;0.889;0.821;0.907
parkinsons;20;0.839;0.744;0.837
parkinsons;20;0.868;0.821;0.924
parkinsons;20;0.825;0.718;0.831
parkinsons;20;0.818;0.692;0.662
parkinsons;40;0.8;0.692;0.778
parkinsons;40;0.909;0.846;0.796
parkinsons;40;0.812;0.692;0.314
parkinsons;40;0.754;0.615;0.448
parkinsons;40;0.793;0.692;0.841
phoneme;5;0.587;0.761;0.815
phoneme;5;0.602;0.759;0.835
phoneme;5;0.569;0.721;0.792
phoneme;5;0.522;0.749;0.816
phoneme;5;0.528;0.737;0.8
phoneme;20;0.565;0.76;0.822
phoneme;20;0.535;0.732;0.787
phoneme;20;0.565;0.742;0.78
phoneme;20;0.422;0.744;0.807
phoneme;20;0.557;0.758;0.8
phoneme;40;0.382;0.713;0.688
phoneme;40;0.284;0.724;0.679
phoneme;40;0.47;0.693;0.693
phoneme;40;0.359;0.726;0.74
phoneme;40;0.246;0.717;0.623
pima-diabetes;5;0.621;0.714;0.795
pima-diabetes;5;0.45;0.714;0.751
pima-diabetes;5;0.579;0.708;0.775
pima-diabetes;5;0.731;0.817;0.867
pima-diabetes;5;0.543;0.725;0.759
pima-diabetes;20;0.485;0.669;0.676
pima-diabetes;20;0.495;0.682;0.703
pima-diabetes;20;0.496;0.63;0.657
pima-diabetes;20;0.539;0.654;0.71
pima-diabetes;20;0.44;0.667;0.667
pima-diabetes;40;0.578;0.649;0.675
pima-diabetes;40;0.478;0.532;0.587
pima-diabetes;40;0.508;0.584;0.614
pima-diabetes;40;0.571;0.706;0.758
pima-diabetes;40;0.521;0.699;0.706
proba_football;5;0.333;0.674;0.668
proba_football;5;0.213;0.563;0.513
proba_football;5;0.343;0.657;0.627
proba_football;5;0.297;0.612;0.57
proba_football;5;0.356;0.567;0.577
proba_football;20;0.077;0.644;0.534
proba_football;20;0.364;0.637;0.553
proba_football;20;0.207;0.657;0.594
proba_football;20;0.385;0.642;0.544
proba_football;20;0.451;0.582;0.546
proba_football;40;0.383;0.57;0.547
proba_football;40;0.281;0.659;0.606
proba_football;40;0.113;0.649;0.459
proba_football;40;0.08;0.657;0.561
proba_football;40;0.118;0.664;0.573
ricci;5;0.923;0.917;0.969
ricci;5;0.625;0.75;0.808
ricci;5;1.0;1.0;1.0
ricci;5;1.0;1.0;1.0
ricci;5;0.917;0.913;1.0
ricci;20;0.828;0.792;0.958
ricci;20;0.167;0.583;0.371
ricci;20;0.87;0.875;0.986
ricci;20;0.842;0.87;1.0
ricci;20;0.833;0.826;0.962
ricci;40;0.815;0.792;0.861
ricci;40;0.308;0.625;0.668
ricci;40;0.706;0.792;0.615
ricci;40;0.667;0.565;0.689
ricci;40;0.88;0.87;0.955
sa-heart;5;0.436;0.667;0.73
sa-heart;5;0.562;0.699;0.672
sa-heart;5;0.426;0.62;0.623
sa-heart;5;0.516;0.674;0.739
sa-heart;5;0.407;0.652;0.668
sa-heart;20;0.557;0.71;0.685
sa-heart;20;0.4;0.645;0.615
sa-heart;20;0.507;0.641;0.657
sa-heart;20;0.576;0.728;0.705
sa-heart;20;0.687;0.772;0.737
sa-heart;40;0.491;0.71;0.643
sa-heart;40;0.455;0.484;0.519
sa-heart;40;0.55;0.609;0.651
sa-heart;40;0.409;0.717;0.676
sa-heart;40;0.459;0.641;0.66
thoracic-surgery;5;0.0;0.819;0.562
thoracic-surgery;5;0.087;0.777;0.437
thoracic-surgery;5;0.0;0.851;0.518
thoracic-surgery;5;0.0;0.809;0.455
thoracic-surgery;5;0.286;0.84;0.613
thoracic-surgery;20;0.091;0.787;0.596
thoracic-surgery;20;0.194;0.734;0.422
thoracic-surgery;20;0.0;0.851;0.527
thoracic-surgery;20;0.0;0.755;0.311
thoracic-surgery;20;0.095;0.798;0.501
thoracic-surgery;40;0.211;0.84;0.601
thoracic-surgery;40;0.08;0.755;0.463
thoracic-surgery;40;0.105;0.819;0.517
thoracic-surgery;40;0.0;0.798;0.429
thoracic-surgery;40;0.0;0.851;0.394
thyroid-recurrence;5;0.684;0.844;0.942
thyroid-recurrence;5;0.789;0.896;0.972
thyroid-recurrence;5;0.743;0.883;0.984
thyroid-recurrence;5;0.824;0.882;0.983
thyroid-recurrence;5;0.851;0.908;0.99
thyroid-recurrence;20;0.829;0.909;0.977
thyroid-recurrence;20;0.696;0.818;0.931
thyroid-recurrence;20;0.712;0.779;0.945
thyroid-recurrence;20;0.625;0.842;0.766
thyroid-recurrence;20;0.644;0.724;0.934
thyroid-recurrence;40;0.275;0.247;0.373
thyroid-recurrence;40;0.545;0.805;0.96
thyroid-recurrence;40;0.75;0.87;0.962
thyroid-recurrence;40;0.308;0.763;0.767
thyroid-recurrence;40;0.585;0.645;0.904
wine;5;0.778;0.778;0.914
wine;5;0.833;0.833;0.96
wine;5;0.833;0.833;0.93
wine;5;0.943;0.943;0.997
wine;5;0.971;0.971;0.992
wine;20;0.806;0.806;0.904
wine;20;0.444;0.444;0.66
wine;20;0.556;0.556;0.756
wine;20;0.829;0.829;0.984
wine;20;0.486;0.486;0.69
wine;40;0.444;0.444;0.624
wine;40;0.556;0.556;0.819
wine;40;0.583;0.583;0.805
wine;40;0.743;0.743;0.893
wine;40;0.629;0.629;0.765
wiscosin;5;0.812;0.833;0.971
wiscosin;5;0.94;0.956;0.993
wiscosin;5;0.966;0.974;0.998
wiscosin;5;0.925;0.947;0.979
wiscosin;5;0.95;0.965;0.998
wiscosin;20;0.8;0.825;0.943
wiscosin;20;0.902;0.93;0.991
wiscosin;20;0.951;0.965;0.994
wiscosin;20;0.725;0.754;0.926
wiscosin;20;0.963;0.973;0.999
wiscosin;40;0.642;0.579;0.942
wiscosin;40;0.894;0.921;0.974
wiscosin;40;0.925;0.947;0.982
wiscosin;40;0.59;0.719;0.833
wiscosin;40;0.964;0.973;0.992
