Dataset;Missing rate;F1-score;Accuracy;AUC
liver;40;0.443;0.284;0.555
liver;40;0.125;0.635;0.46
mathernal-risk;5;0.547;0.547;0.765
mathernal-risk;5;0.517;0.517;0.693
mathernal-risk;5;0.502;0.502;0.726
mathernal-risk;5;0.502;0.502;0.7
mathernal-risk;5;0.485;0.485;0.679
mathernal-risk;20;0.562;0.562;0.749
mathernal-risk;20;0.473;0.473;0.657
mathernal-risk;20;0.493;0.493;0.704
mathernal-risk;20;0.527;0.527;0.674
mathernal-risk;20;0.441;0.441;0.608
mathernal-risk;40;0.621;0.621;0.748
mathernal-risk;40;0.458;0.458;0.665
mathernal-risk;40;0.537;0.537;0.708
mathernal-risk;40;0.522;0.522;0.664
mathernal-risk;40;0.45;0.45;0.631
npha;5;0.462;0.462;0.558
npha;5;0.427;0.427;0.487
npha;5;0.51;0.51;0.575
npha;5;0.441;0.441;0.495
npha;5;0.472;0.472;0.546
npha;20;0.427;0.427;0.51
npha;20;0.322;0.322;0.447
npha;20;0.378;0.378;0.464
npha;20;0.35;0.35;0.485
npha;20;0.444;0.444;0.515
npha;40;0.434;0.434;0.488
npha;40;0.42;0.42;0.538
npha;40;0.483;0.483;0.502
npha;40;0.343;0.343;0.514
npha;40;0.486;0.486;0.525
parkinsons;5;0.82;0.718;0.722
parkinsons;5;0.108;0.154;0.169
parkinsons;5;0.162;0.205;0.388
parkinsons;5;0.724;0.59;0.702
parkinsons;5;0.853;0.744;0.605
parkinsons;20;0.938;0.897;0.765
parkinsons;20;0.853;0.744;0.854
parkinsons;20;0.867;0.795;0.686
parkinsons;20;0.8;0.692;0.614
parkinsons;20;0.853;0.744;0.636
parkinsons;40;0.921;0.872;0.806
parkinsons;40;0.714;0.59;0.574
parkinsons;40;0.853;0.744;0.724
parkinsons;40;0.067;0.282;0.379
parkinsons;40;0.818;0.692;0.364
phoneme;5;0.321;0.686;0.65
phoneme;5;0.421;0.646;0.629
phoneme;5;0.342;0.69;0.604
phoneme;5;0.216;0.677;0.558
phoneme;5;0.425;0.702;0.686
phoneme;20;0.216;0.663;0.494
phoneme;20;0.268;0.691;0.557
phoneme;20;0.222;0.65;0.573
phoneme;20;0.384;0.694;0.662
phoneme;20;0.473;0.681;0.679
phoneme;40;0.268;0.642;0.569
phoneme;40;0.184;0.631;0.524
phoneme;40;0.363;0.665;0.599
phoneme;40;0.178;0.659;0.558
phoneme;40;0.254;0.695;0.489
pima-diabetes;5;0.479;0.604;0.612
pima-diabetes;5;0.522;0.643;0.682
pima-diabetes;5;0.386;0.649;0.69
pima-diabetes;5;0.414;0.667;0.691
pima-diabetes;5;0.256;0.621;0.602
pima-diabetes;20;0.411;0.571;0.601
pima-diabetes;20;0.374;0.63;0.515
pima-diabetes;20;0.344;0.604;0.587
pima-diabetes;20;0.571;0.627;0.668
pima-diabetes;20;0.333;0.608;0.559
pima-diabetes;40;0.471;0.474;0.563
pima-diabetes;40;0.239;0.545;0.471
pima-diabetes;40;0.235;0.578;0.542
pima-diabetes;40;0.321;0.503;0.516
pima-diabetes;40;0.325;0.484;0.467
proba_football;5;0.08;0.659;0.525
proba_football;5;0.324;0.63;0.506
proba_football;5;0.169;0.634;0.522
proba_football;5;0.345;0.575;0.472
proba_football;5;0.286;0.627;0.566
proba_football;20;0.329;0.607;0.562
proba_football;20;0.164;0.622;0.505
proba_football;20;0.416;0.664;0.655
proba_football;20;0.25;0.552;0.507
proba_football;20;0.416;0.56;0.543
proba_football;40;0.449;0.4;0.454
proba_football;40;0.364;0.533;0.546
proba_football;40;0.372;0.597;0.614
proba_football;40;0.364;0.634;0.57
proba_football;40;0.235;0.612;0.521
ricci;5;0.727;0.625;1.0
ricci;5;0.429;0.667;0.706
ricci;5;0.815;0.792;0.962
ricci;5;0.308;0.609;1.0
ricci;5;0.533;0.696;0.78
ricci;20;0.645;0.542;0.479
ricci;20;0.235;0.458;0.657
ricci;20;0.88;0.875;0.895
ricci;20;0.706;0.783;0.977
ricci;20;0.0;0.522;0.341
ricci;40;0.75;0.75;0.819
ricci;40;0.583;0.583;0.608
ricci;40;0.625;0.5;0.301
ricci;40;0.0;0.522;0.492
ricci;40;0.783;0.783;0.879
sa-heart;5;0.238;0.656;0.597
sa-heart;5;0.418;0.581;0.567
sa-heart;5;0.5;0.696;0.714
sa-heart;5;0.458;0.717;0.689
sa-heart;5;0.528;0.728;0.695
sa-heart;20;0.361;0.581;0.562
sa-heart;20;0.452;0.634;0.661
sa-heart;20;0.385;0.652;0.576
sa-heart;20;0.227;0.63;0.558
sa-heart;20;0.464;0.674;0.755
sa-heart;40;0.485;0.634;0.644
sa-heart;40;0.411;0.538;0.564
sa-heart;40;0.373;0.598;0.619
sa-heart;40;0.182;0.609;0.641
sa-heart;40;0.456;0.663;0.705
thoracic-surgery;5;0.08;0.755;0.597
thoracic-surgery;5;0.095;0.798;0.522
thoracic-surgery;5;0.111;0.83;0.504
thoracic-surgery;5;0.133;0.723;0.537
thoracic-surgery;5;0.235;0.862;0.49
thoracic-surgery;20;0.273;0.83;0.476
thoracic-surgery;20;0.083;0.766;0.485
thoracic-surgery;20;0.133;0.862;0.564
thoracic-surgery;20;0.0;0.851;0.433
thoracic-surgery;20;0.0;0.851;0.425
thoracic-surgery;40;0.273;0.83;0.662
thoracic-surgery;40;0.0;0.851;0.485
thoracic-surgery;40;0.111;0.83;0.473
thoracic-surgery;40;0.0;0.83;0.53
thoracic-surgery;40;0.0;0.809;0.584
thyroid-recurrence;5;0.789;0.896;0.884
thyroid-recurrence;5;0.7;0.844;0.904
thyroid-recurrence;5;0.649;0.831;0.884
thyroid-recurrence;5;0.487;0.474;0.55
thyroid-recurrence;5;0.286;0.737;0.7
thyroid-recurrence;20;0.296;0.753;0.765
thyroid-recurrence;20;0.649;0.831;0.86
thyroid-recurrence;20;0.533;0.818;0.92
thyroid-recurrence;20;0.348;0.605;0.584
thyroid-recurrence;20;0.171;0.618;0.426
thyroid-recurrence;40;0.667;0.805;0.808
thyroid-recurrence;40;0.708;0.818;0.85
thyroid-recurrence;40;0.615;0.805;0.688
thyroid-recurrence;40;0.276;0.724;0.753
thyroid-recurrence;40;0.632;0.816;0.848
wine;5;0.667;0.667;0.792
wine;5;0.806;0.806;0.91
wine;5;0.528;0.528;0.722
wine;5;0.829;0.829;0.962
wine;5;0.657;0.657;0.831
wine;20;0.694;0.694;0.829
wine;20;0.583;0.583;0.763
wine;20;0.417;0.417;0.613
wine;20;0.486;0.486;0.605
wine;20;0.657;0.657;0.884
wine;40;0.611;0.611;0.638
wine;40;0.306;0.306;0.613
wine;40;0.444;0.444;0.541
wine;40;0.371;0.371;0.576
wine;40;0.571;0.571;0.715
wiscosin;5;0.755;0.789;0.911
wiscosin;5;0.864;0.904;0.939
wiscosin;5;0.819;0.868;0.83
wiscosin;5;0.892;0.921;0.955
wiscosin;5;0.907;0.929;0.963
wiscosin;20;0.857;0.904;0.868
wiscosin;20;0.85;0.895;0.899
wiscosin;20;0.861;0.904;0.943
wiscosin;20;0.846;0.895;0.941
wiscosin;20;0.874;0.903;0.95
wiscosin;40;0.778;0.86;0.856
wiscosin;40;0.757;0.842;0.883
wiscosin;40;0.875;0.912;0.946
wiscosin;40;0.916;0.939;0.942
wiscosin;40;0.703;0.761;0.817
