Dataset;Missing Rate;KNN;MICE;SOFTIMPUTE;GAIN
mathernal-risk;40;0.258 ± 0.007;0.269 ± 0.011;0.211 ± 0.007;0.587 ± 0.076
npha;5;0.313 ± 0.06;0.312 ± 0.048;0.288 ± 0.045;0.531 ± 0.123
npha;20;0.325 ± 0.034;0.282 ± 0.029;0.274 ± 0.047;0.483 ± 0.074
npha;40;0.39 ± 0.023;0.36 ± 0.013;0.283 ± 0.032;0.442 ± 0.061
parkinsons;5;0.129 ± 0.035;0.142 ± 0.025;0.15 ± 0.05;0.438 ± 0.047
parkinsons;20;0.173 ± 0.036;0.175 ± 0.019;0.141 ± 0.014;0.459 ± 0.051
parkinsons;40;0.211 ± 0.021;0.217 ± 0.014;0.143 ± 0.028;0.462 ± 0.014
phoneme;5;0.223 ± 0.008;0.266 ± 0.005;0.2 ± 0.038;0.472 ± 0.072
phoneme;20;0.251 ± 0.003;0.245 ± 0.002;0.166 ± 0.028;0.385 ± 0.078
phoneme;40;0.247 ± 0.002;0.191 ± 0.003;0.16 ± 0.016;0.407 ± 0.024
pima-diabetes;5;0.212 ± 0.018;0.222 ± 0.017;0.191 ± 0.011;0.503 ± 0.067
pima-diabetes;20;0.18 ± 0.01;0.193 ± 0.012;0.17 ± 0.015;0.406 ± 0.061
pima-diabetes;40;0.215 ± 0.009;0.223 ± 0.012;0.186 ± 0.006;0.478 ± 0.059
proba_football;5;0.035 ± 0.005;0.028 ± 0.006;0.021 ± 0.004;0.267 ± 0.065
proba_football;20;0.129 ± 0.046;0.029 ± 0.007;0.02 ± 0.005;0.342 ± 0.05
proba_football;40;0.438 ± 0.137;0.032 ± 0.01;0.018 ± 0.005;0.378 ± 0.059
ricci;5;0.251 ± 0.086;0.214 ± 0.188;0.187 ± 0.187;0.433 ± 0.173
ricci;20;0.236 ± 0.083;0.17 ± 0.095;0.157 ± 0.069;0.529 ± 0.072
ricci;40;0.318 ± 0.092;0.374 ± 0.036;0.265 ± 0.108;0.658 ± 0.145
sa-heart;5;0.227 ± 0.017;0.277 ± 0.018;0.199 ± 0.034;0.519 ± 0.102
sa-heart;20;0.306 ± 0.005;0.321 ± 0.008;0.195 ± 0.05;0.474 ± 0.05
sa-heart;40;0.328 ± 0.019;0.338 ± 0.014;0.167 ± 0.039;0.454 ± 0.075
thoracic-surgery;5;0.16 ± 0.009;1.011 ± 1.93;0.154 ± 0.04;0.479 ± 0.087
thoracic-surgery;20;0.203 ± 0.022;0.386 ± 0.544;0.165 ± 0.022;0.498 ± 0.066
thoracic-surgery;40;0.215 ± 0.03;7.32 ± 14.746;0.149 ± 0.019;0.5 ± 0.076
thyroid-recurrence;5;0.181 ± 0.024;0.182 ± 0.013;0.179 ± 0.013;0.417 ± 0.053
thyroid-recurrence;20;0.22 ± 0.025;0.188 ± 0.036;0.16 ± 0.036;0.546 ± 0.054
thyroid-recurrence;40;0.27 ± 0.073;0.249 ± 0.072;0.191 ± 0.041;0.518 ± 0.06
wine;5;0.195 ± 0.05;0.199 ± 0.045;0.23 ± 0.021;0.45 ± 0.047
wine;20;0.276 ± 0.017;0.215 ± 0.03;0.213 ± 0.04;0.488 ± 0.039
wine;40;0.312 ± 0.007;0.299 ± 0.024;0.211 ± 0.027;0.622 ± 0.064
wiscosin;5;0.1 ± 0.012;0.071 ± 0.012;0.115 ± 0.019;0.414 ± 0.016
wiscosin;20;0.112 ± 0.009;0.086 ± 0.007;0.096 ± 0.005;0.436 ± 0.013
wiscosin;40;0.132 ± 0.01;0.139 ± 0.013;0.086 ± 0.005;0.446 ± 0.019
